"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Wiz",7.67192157367095,6.83121318356222,7.83990664711296,7.4023951312922,7.61909670199298,7.74478513301682,7.60767883570439,7.60810106111412,7.75707728224866,8.01743588476039,7.71862385089263,7.43967715764149
"Wls",6.17635408035087,6.83121318356222,6.69029523969881,7.65358841751648,6.99636978899757,6.755470823197,6.95298031227433,6.55909300777311,7.30334433688714,7.02770184129009,6.20958852122991,6.86291523541091
"Wnk1",8.96929197480207,9.03471640483138,8.97769983044482,9.07027718918534,9.10192907203919,9.17946535352721,9.04213257075635,9.33386840137017,9.53968600429826,9.1058696441631,8.54528007468842,8.82032662104952
"Wnk2",8.67413403142353,8.78995458191493,8.98392906232631,8.4108209713677,8.713915771863,8.34001710442668,8.66200507957099,9.19370807879956,8.50031208177338,8.84020849350811,8.54207946871336,8.60575269888404
"Wnk3",7.64636804048362,6.99917462710123,7.07346994985773,6.77112443620831,7.26000193993296,6.91385343753563,6.87595401137777,7.45356454082123,7.82732167054585,7.29122632044693,6.60219992613644,6.95162484901489
"Wnk4",6.32772938395083,6.48509415113804,6.69029523969881,5.8714991157142,6.13237832662708,6.29325312328079,5.8714991157142,6.44193160056966,6.39266393033071,6.35979249844149,6.16445996696577,6.08212828101941
"Wnt1",5.8714991157142,5.8714991157142,6.34842684792582,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.1809102658581,6.19203048538614,5.8714991157142,5.8714991157142
"Wnt10a",6.820146646853,6.62024200415234,5.8714991157142,6.62367124775845,6.70630137242535,6.70631806446781,6.75499606905853,5.8714991157142,6.60463750584648,6.67976649807206,6.54314439751207,6.6507925916953
"Wnt10b",5.8714991157142,5.8714991157142,5.8714991157142,6.12474723758388,6.05609405981586,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.11083729075916,5.8714991157142
"Wnt11",5.8714991157142,6.30699851990492,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.04083368100661,5.8714991157142
"Wnt16",6.35218786696624,5.8714991157142,6.48537605304389,5.8714991157142,5.8714991157142,6.29325312328079,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.23567596641634
"Wnt2",6.64102186488411,5.8714991157142,5.8714991157142,6.53648873137219,6.13237832662708,6.32677786550449,5.8714991157142,6.22667762090384,6.32344890622653,6.9510223195495,6.4299477385581,6.59420774544285
"Wnt2b",6.32772938395083,5.8714991157142,6.34842684792582,5.8714991157142,5.8714991157142,6.38713259911932,6.05848225421832,6.41982366941554,5.8714991157142,6.45394735979256,6.16445996696577,6.16911037830539
"Wnt3",6.17635408035087,6.30699851990492,6.14768706671911,5.8714991157142,6.05609405981586,5.8714991157142,6.19491251598861,5.8714991157142,5.8714991157142,6.21759457693144,5.8714991157142,6.31693657890551
"Wnt4",6.83151736449931,7.20583365391247,6.9524742545201,6.43491918602389,6.5062586792095,7.01340382038113,7.50752378214374,6.92778025351513,6.51844369390933,6.32387626240049,6.86815268487187,6.91328635267689
"Wnt5a",6.65533351594849,6.73295367629313,6.73334387056803,7.51893215686025,6.76222801855313,7.2900176494952,6.28844625763025,7.12535176543789,7.24453369090064,6.43938929190079,6.20958852122991,6.89348360414842
"Wnt5b",5.8714991157142,6.30699851990492,5.8714991157142,6.2291892061374,6.19079303942823,6.3579273508265,6.05848225421832,6.41982366941554,6.25894492845937,6.26366764596159,5.8714991157142,6.12935193162104
"Wnt7a",6.37541937491465,6.73295367629313,5.8714991157142,6.73687139946164,6.99636978899757,7.03672135048363,6.89190314319699,6.37254495461122,7.06598416886169,6.75650946949886,6.40425717709741,6.23567596641634
"Wnt7b",7.27256171140786,7.57350222208301,7.01489498603501,7.34856364161342,7.30150352386915,7.87785161881596,7.71488613701435,7.50525782682436,7.77089523175789,7.67080000259049,7.50274844109288,7.45133967973841
"Wnt9a",6.0872642648797,5.8714991157142,5.8714991157142,6.2291892061374,6.05609405981586,6.21626638985438,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.04083368100661,6.08212828101941
"Wnt9b",5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.23993883949008,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142
"Wrap53",6.4392220180607,6.83121318356222,6.77411668052949,6.43491918602389,6.55621678657737,6.68920134154279,6.93809491264487,7.05111552737548,7.17309298660968,6.98665645352955,6.81314588975361,6.6507925916953
