,Subfield,Gene,Group,meandiff,p-adj,sig
98,CA3,Npas4,conflict.trained.VS.conflict.yoked,0.938,0.6573, 
99,CA3,Arc,conflict.trained.VS.conflict.yoked,-0.0662,0.9966, 
100,CA3,Grin1,conflict.trained.VS.conflict.yoked,0.2498,0.7723, 
101,CA3,Gria1,conflict.trained.VS.conflict.yoked,0.3882,0.1816, 
102,CA3,Gria2,conflict.trained.VS.conflict.yoked,0.5387,0.1859, 
103,CA3,Pick1,conflict.trained.VS.conflict.yoked,-0.0641,0.9237, 
104,CA3,Nsf,conflict.trained.VS.conflict.yoked,0.1174,0.916, 
105,CA3,Numb,conflict.trained.VS.conflict.yoked,-0.211,0.9906, 
106,CA3,Fmr1,conflict.trained.VS.conflict.yoked,-0.3044,0.7373, 
107,CA3,Camk2a,conflict.trained.VS.conflict.yoked,0.2007,0.8327, 
108,CA3,Wwc1,conflict.trained.VS.conflict.yoked,0.5194,0.4455, 
109,CA3,Prkcb,conflict.trained.VS.conflict.yoked,0.4769,0.4273, 
110,CA3,Prkcz,conflict.trained.VS.conflict.yoked,-0.0268,0.9995, 
111,CA3,Prkci,conflict.trained.VS.conflict.yoked,0.6057,0.1225, 
112,CA3,Fos,conflict.trained.VS.standard.trained,1.0887,0.6457, 
113,CA3,Fosl2,conflict.trained.VS.standard.trained,0.4657,0.7684, 
114,CA3,Npas4,conflict.trained.VS.standard.trained,-0.2581,0.9913, 
115,CA3,Arc,conflict.trained.VS.standard.trained,-0.51,0.5306, 
116,CA3,Grin1,conflict.trained.VS.standard.trained,-0.2413,0.8427, 
117,CA3,Gria1,conflict.trained.VS.standard.trained,0.2135,0.6959, 
118,CA3,Gria2,conflict.trained.VS.standard.trained,-0.1425,0.9498, 
119,CA3,Pick1,conflict.trained.VS.standard.trained,-0.3224,0.096, 
120,CA3,Nsf,conflict.trained.VS.standard.trained,-0.3649,0.3589, 
121,CA3,Numb,conflict.trained.VS.standard.trained,-0.292,0.9832, 
122,CA3,Fmr1,conflict.trained.VS.standard.trained,0.2718,0.8472, 
123,CA3,Camk2a,conflict.trained.VS.standard.trained,0.2523,0.7877, 
124,CA3,Wwc1,conflict.trained.VS.standard.trained,0.3025,0.8501, 
125,CA3,Prkcb,conflict.trained.VS.standard.trained,0.1114,0.9866, 
126,CA3,Prkcz,conflict.trained.VS.standard.trained,0.2666,0.7807, 
127,CA3,Prkci,conflict.trained.VS.standard.trained,0.2366,0.8132, 
128,CA3,Fos,conflict.trained.VS.standard.yoked,-1.1821,0.4942, 
129,CA3,Fosl2,conflict.trained.VS.standard.yoked,-0.6473,0.4635, 
130,CA3,Npas4,conflict.trained.VS.standard.yoked,-0.1447,0.9977, 
131,CA3,Arc,conflict.trained.VS.standard.yoked,-0.0577,0.9977, 
132,CA3,Grin1,conflict.trained.VS.standard.yoked,-0.0982,0.9801, 
133,CA3,Gria1,conflict.trained.VS.standard.yoked,0.2361,0.5396, 
134,CA3,Gria2,conflict.trained.VS.standard.yoked,0.3432,0.51, 
135,CA3,Pick1,conflict.trained.VS.standard.yoked,0.0928,0.8084, 
136,CA3,Nsf,conflict.trained.VS.standard.yoked,-0.1399,0.8689, 
137,CA3,Numb,conflict.trained.VS.standard.yoked,-1.4969,0.2382, 
138,CA3,Fmr1,conflict.trained.VS.standard.yoked,0.0698,0.995, 
139,CA3,Camk2a,conflict.trained.VS.standard.yoked,0.6892,0.077, 
140,CA3,Wwc1,conflict.trained.VS.standard.yoked,0.6184,0.3127, 
