,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Clrn1,0.9999999999999993,0.19429587818413294,0.8840698356656022,#ff32e1,#ff32e1,0.7413857192077997,0.14404818938665453,0.6554367509448642,R,Clrn1
Lats1,0.9999999999999993,0.19429587818413294,0.8840698356656023,#ff32e1,#ff32e1,0.7413857192077997,0.14404818938665453,0.6554367509448643,R,Lats1
Dscc1,0.45155928031730325,0.6145586736218402,0.0014714700052666824,#739d00,#96cc00,0.5921151734209847,0.8058510398751347,0.0019294913322122958,G,Dscc1
Vmn2r10,0.4518846219801836,0.6148078366109058,0.0006812434758538239,#739d00,#96cc00,0.5922371135942819,0.8057632432235213,0.0008928333697806102,G,Vmn2r10
Mmp12,0.4518816050657888,0.6147764646021908,0.0006734552811935907,#739d00,#96cc00,0.5922541729645977,0.8057507154956229,0.0008826575282565036,G,Mmp12
Rpl21-ps4,0.45137692008436064,0.6140078312035382,0.0014641224513579048,#739d00,#96cc00,0.592304669886154,0.8057117889424977,0.001921247025794701,G,Rpl21-ps4
Gm10184,0.4515289146485566,0.6141037705022433,0.0010967654691399873,#739d00,#96cc00,0.5923745303516548,0.8056614334911224,0.0014388800110252014,G,Gm10184
F13a1,0.4517353193185713,0.6143171484054223,0.0005963727211726844,#739d00,#96cc00,0.5924171108418743,0.8056310291343598,0.0007820982538956054,G,F13a1
Pira2,0.45188594521427466,0.6145102541122984,0.00035866446516432196,#739d00,#96cc00,0.59242456676511,0.8056257888095433,0.0004702107747304668,G,Pira2
Gipc3,0.4519561397108227,0.6145919426952082,0.0003005364007618674,#739d00,#96cc00,0.5924331994219084,0.805619481533795,0.0003939491596685004,G,Gipc3
Prom2,0.4517347352000509,0.6142623512817121,0.0005302854552857464,#739d00,#96cc00,0.5924509507533056,0.8056062234568901,0.000695470367173692,G,Prom2
Ighv5-17,0.45168101511553793,0.6141837502419828,0.0006195616352557493,#739d00,#96cc00,0.592454374920738,0.8056035955883841,0.0008126575814713454,G,Ighv5-17
Cd5,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Cd5
Gstm2,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Gstm2
Ssxb2,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Ssxb2
Usp17lc,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Usp17lc
Slc5a10,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Slc5a10
AI467606,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,AI467606
Fkbp6,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Fkbp6
Ripk3,0.4519781114564882,0.614502998840257,0.0,#739d00,#96cc00,0.5925075863984487,0.8055648701751368,0.0,G,Ripk3
