,R,G,B,hex_val,hls_val
Htr5b,0.22115220903817878,0.9966549609178329,0.0013358474040226869,#38fe00,#88ff66
Ier3,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Ifrd1,1.0,0.3072633058892737,0.06680635894887627,#ff4e11,#ff8d66
Igf2r,0.43401683969840804,0.6393661102241057,0.6201172092152349,#6fa39e,#a2c3c0
Ighv5-17,0.2400359147129102,0.9685555920596713,0.05770442177030116,#3df70f,#88fa6b
Ikbip,0.22965053903728938,0.9983643892925672,0.019557651021983896,#3bff05,#87ff66
Ikzf1,0.2218603814411024,0.9967662582751499,0.0023521893495470803,#39fe01,#88ff66
Il16,0.6072049461573685,0.42925216458873783,0.8052358599379434,#9b6dcd,#b08dd8
Il34,0.0008994717705954724,0.0003150727822677021,0.09838969072212397,#000019,#6766ff
Il3ra,0.022733911545100464,0.1068434051793368,0.07628580091632176,#061b13,#81e4c0
Ildr1,0.47505048949321727,0.7738727663276908,0.040015246120974936,#79c50a,#bff76e
Ilvbl,0.00043950855230213547,0.0074012697300956205,0.08776569167738126,#000216,#6773fe
Impg2,0.22349677743772972,0.9984819861097238,0.004126952923589158,#39ff01,#88ff66
Ing2,0.9990110851276401,0.3065405172219261,0.07412400363891945,#ff4e13,#ff8d66
Ipmk,0.8846123925620757,0.33814338494192525,0.33751546662046067,#e25656,#e87d7d
Iqcg,0.26289026923012426,0.8917218634382551,0.27039682412566873,#43e345,#7aeb7b
Iqub,0.3653081122080992,0.5549010951150474,0.9567724584489713,#5d8df4,#709bf5
Irf9,0.449403573223019,0.48560018952508616,0.979956146556211,#737cfa,#737cfa
Irs1,0.9990110851276401,0.30654051722192616,0.07412400363891941,#ff4e13,#ff8d66
Irs2,0.9999981193991858,0.3071875961269451,0.06760749550569725,#ff4e11,#ff8d66
Iscu,0.22882806877341036,0.9979398398085362,0.017170175097862176,#3afe04,#87ff66
Itga7,0.44909476618308786,0.482957744044539,0.9778828951698848,#737bf9,#737bf9
Itgam,0.0009207403782515298,0.0014282434885950508,0.09779132504398376,#000019,#6768fe
Itgb7,0.4400713677119954,0.48961364979576916,0.984558727265262,#707dfb,#707dfb
Jade3,0.0008994717705954724,0.0003150727822677021,0.09838969072212397,#000019,#6766ff
Jag1,0.6678213950427702,0.18441165952412442,0.11187111200541963,#aa2f1d,#e98a7c
Jdp2,0.01582073729201986,0.0013916447995173116,0.11689924331571593,#04001e,#7a68fd
Jmjd1c,0.5099414978426448,0.7492817517512479,0.023415468762549074,#82bf06,#cbfa6b
Jun,1.0,0.30726330588927364,0.06680635894887624,#ff4e11,#ff8d66
Junb,1.0,0.3072633058892737,0.06680635894887624,#ff4e11,#ff8d66
Jund,1.0,0.30726330588927375,0.06680635894887627,#ff4e11,#ff8d66
K230010J24Rik,0.4672728468162162,0.5956249207147536,0.5934794818361432,#779897,#a8bdbd
Katnal1,0.3568974618179159,0.5151960200273381,0.9743580881354634,#5b83f8,#6c90f9
Kazn,0.05106491915969807,0.09848045910431806,0.15260591261561723,#0d1927,#8cb0d9
Kcna4,0.9994988510499891,0.3065936972958027,0.07225102250259835,#ff4e12,#ff8d66
Kcnj2,1.0,0.3072633058892737,0.0668063589488762,#ff4e11,#ff8d66
Kcnma1,0.009503274057081484,0.004331967736969613,0.11333033204515842,#02011d,#726cf9
Kctd12,0.9990110851276401,0.30654051722192616,0.0741240036389195,#ff4e13,#ff8d66
Kctd6,0.24275683675064086,0.9692966035372675,0.06562087704911532,#3ef711,#87fa6b
Kctd8,0.22115220903817878,0.9966549609178329,0.0013358474040225216,#38fe00,#88ff66
Kdm6b,1.0,0.30726330588927375,0.06680635894887627,#ff4e11,#ff8d66
Keap1,0.22077955706996558,0.9962564079584317,0.0009212363650459224,#38fe00,#88ff66
Khdrbs2,0.22939574944429164,0.9977579097247397,0.018226345942474038,#3afe05,#87ff66
Klf16,0.8016245693288516,0.36033640475773376,0.4931852420617468,#cc5c7e,#db8aa2
