R,G,B,hex_val,gene,hls_val
0.992007,0.0,0.033966,#fd0009,Col10a1,#fd0009
0.0,0.978,0.000978,#00f900,Col15a1,#00f900
0.03366,0.04455,0.9276300000000001,#090bed,Comp,#090bed
0.02842,0.00196,0.9594199999999999,#0700f5,Copg2,#0700f5
0.0,0.0001200000000000001,0.0002240000000000002,#000000,Coq2,#006dcc
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Cox7a2l,#00ccc3
0.990009,0.0,0.035963999999999996,#fc0009,Cpeb4,#fc0009
0.0,0.978,0.000978,#00f900,Crebzf,#00f900
0.0,0.0009030000000000007,0.0,#000000,Crlf3,#00cc00
0.991008,0.0,0.034965,#fd0009,Csnk1a1,#fd0009
0.0,0.978,0.000978,#00f900,Ctf1,#00f900
0.881118,0.11788199999999999,0.005994,#e11e02,Ctnnd1,#e11e02
0.990009,0.0,0.035963999999999996,#fc0009,Cul3,#fc0009
0.84915,0.001998,0.17282699999999998,#d9012c,Cul9,#d9012c
0.999,0.0,0.034965,#ff0009,Cwc25,#ff0009
0.992007,0.0,0.033966,#fd0009,Cxadr,#fd0009
0.11368,0.00098,0.87612,#1d00df,Cyp11a1,#1d00df
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Cyp2t4,#00ccb1
0.0,0.0009030000000000007,0.0,#000000,D130040H23Rik,#00cc00
0.0,0.978,0.000978,#00f900,Dars,#00f900
0.994005,0.0,0.031968,#fd0008,Dbpht2,#fd0008
0.9970019999999999,0.001998,0.032967,#fe0108,Dck,#fe0108
0.769,0.177,0.079,#c42d14,Dcun1d3,#c42d14
0.0,0.978021,0.000979,#00f900,Depdc7,#00f900
0.0245,0.00686,0.96824,#0602f7,Dhrs7,#0602f7
0.10202399999999999,0.210915,0.6935669999999999,#1a36b1,Dhx16,#1a36b2
0.0,0.976023,0.000977,#00f900,Diras1,#00f900
0.319,0.558,0.122,#518e1f,Dlk1,#60a725
0.0,0.978,0.000978,#00f900,Dlx5,#00f900
0.0,0.978,0.000978,#00f900,Dmxl1,#00f900
0.999,0.0,0.034965,#ff0009,Dnaja1,#ff0009
0.990009,0.000999,0.033966,#fc0009,Dnaja4,#fc0009
0.999,0.0,0.034965,#ff0009,Dnajb1,#ff0009
0.0,0.978,0.000978,#00f900,Dock7,#00f900
0.0,0.978,0.000978,#00f900,Dpm3,#00f900
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Dpyd,#00ccb1
0.319,0.558,0.122,#518e1f,Dscc1,#60a725
0.268,0.609,0.121,#449b1f,Dusp10,#4baa22
0.990009,0.0,0.035963999999999996,#fc0009,Dusp14,#fc0009
0.999,0.0,0.034965,#ff0009,Dusp16,#ff0009
0.0,0.0009030000000000007,0.0,#000000,Dusp2,#00cc00
0.998001,0.0,0.035963999999999996,#fe0009,Dusp4,#fe0009
0.999,0.0,0.034965,#ff0009,Dusp6,#ff0009
