R,G,B,hex_val,hls_val,gene
0.0,0.035219,0.72156,#0009b8,#000acc,Nrg2
0.0,0.15040000000000003,0.026720000000000008,#002607,#00cc24,Nrip1
0.0,0.0,0.0,#000000,#666666,Nsf
0.0,0.03822700000000003,0.01109400000000001,#000a03,#00cc3b,Nsmaf
0.0,0.05502200000000005,0.014640000000000012,#000e04,#00cc36,Ntpcr
0.0,0.13412000000000002,0.022820000000000003,#002206,#00cc23,Nuak1
0.0,0.121752,0.631544,#001fa1,#0027cc,Nuf2
0.995006,0.001996,0.000998,#fe0100,#fe0100,Numb
0.0,0.114536,0.04031,#001d0a,#00cc48,Nup50
0.0,0.09090899999999999,0.035852999999999996,#001709,#00cc50,Nupr1
0.0,0.0,0.0,#000000,#666666,Odf4
0.0,0.11592,0.02172,#001e06,#00cc26,Olfml2b
0.0,0.0,0.0,#000000,#666666,Olfr635
0.0,0.029818000000000025,0.009078000000000008,#000802,#00cc3e,Orc5
0.0,0.19745600000000005,0.10745700000000001,#00321b,#00cc6f,Otog
0.0,0.28382399999999997,0.20060399999999998,#004833,#00cc90,Otud1
0.0,0.075168,0.7140960000000001,#0013b6,#0015cc,Oxr1
0.00028000000000000003,0.13412000000000002,0.023100000000000002,#002206,#00cc23,Pak6
0.0,0.15388800000000005,0.03242400000000001,#002708,#00cc2b,Palb2
0.0,0.24453,0.546858,#003e8b,#005bcc,Parg
1.0,0.0,0.0,#ff0000,#ff0000,Pcdh8
0.0,0.025375000000000023,0.007888000000000008,#000602,#00cc3f,Pdia4
1.0,0.0,0.0,#ff0000,#ff0000,Peli1
1.0,0.0,0.0,#ff0000,#ff0000,Per1
0.0,0.236664,0.320223,#003c52,#0097cc,Phlda1
0.0,0.15916,0.64529,#0029a5,#0032cc,Phtf1
0.0,0.03359200000000003,0.00999400000000001,#000903,#00cc3d,Pick1
0.999,0.0,0.001,#ff0000,#ff0000,Pigb
1.0,0.0,0.0,#ff0000,#ff0000,Pigm
0.0,0.0,0.0,#000000,#666666,Pira2
0.139776,0.26208000000000004,0.157794,#244328,#478550,Pkd1
0.845988,0.024650000000000002,0.06606200000000001,#d80611,#d80611,Plagl1
0.0,0.11083399999999999,0.643718,#001ca4,#0023cc,Pld6
1.0,0.0,0.0,#ff0000,#ff0000,Plekho1
1.0,0.0,0.0,#ff0000,#ff0000,Plk2
0.028495000000000003,0.11606500000000002,0.587275,#071e96,#0926c3,Plk3
0.0,0.157542,0.594594,#002898,#0036cc,Pmm2
0.0,0.28120399999999995,0.357896,#00485b,#00a0cc,Pnp
0.0,0.037668000000000035,0.01109400000000001,#000a03,#00cc3c,Pnpt1
0.0,0.22836299999999998,0.24424099999999999,#003a3e,#00bfcc,Poc5
0.97,0.001,0.016,#f70004,#f70004,Polr2d
0.837646,0.026514,0.072668,#d60713,#d60713,Ppat
0.0,0.112008,0.645482,#001da5,#0023cc,Ppic
1.0,0.0,0.0,#ff0000,#ff0000,Ppm1d
1.0,0.0,0.0,#ff0000,#ff0000,Ppp1r15a
0.0,0.12584,0.022230000000000003,#002006,#00cc24,Ppp2r2a
0.000369,0.093357,0.042927,#00180b,#01cb5d,Ppp6c
0.0,0.029784000000000026,0.009078000000000008,#000802,#00cc3e,Prep
0.41450399999999993,0.25239599999999995,0.083448,#6a4015,#aa6722,Prickle2
0.0,0.035440000000000034,0.01044000000000001,#000903,#00cc3c,Prkcb
0.002135,0.23729000000000006,0.07808000000000001,#013d14,#02ca43,Prkci
0.0,0.120927,0.6990000000000001,#001fb2,#0023cc,Prkcz
0.023940000000000006,0.13167000000000004,0.040698000000000005,#06220a,#1fad35,Prmt3
0.0,0.24136199999999997,0.09126599999999997,#003e17,#00cc4d,Prnp
0.0,0.29072000000000003,0.39373600000000003,#004a64,#0097cc,Prokr2
0.0,0.001,0.0,#000000,#00cc00,Prom2
1.0,0.0,0.0,#ff0000,#ff0000,Prpf38b
0.0,0.07475999999999997,0.01906799999999999,#001305,#00cc34,Prr15
0.0,0.09958800000000001,0.651568,#0019a6,#001fcc,Psmb8
1.0,0.0,0.0,#ff0000,#ff0000,Psmc3
0.0,0.138185,0.023200000000000002,#002306,#00cc22,Ptger4
1.0,0.0,0.0,#ff0000,#ff0000,Ptgs2
0.0,0.10335000000000001,0.657465,#001aa8,#0020cc,Ptpn22
0.0,0.242004,0.23168599999999998,#003e3b,#00ccc3,Pxn
0.0,0.02267200000000002,0.007150000000000007,#000602,#00cc40,Rab11fip2
0.0,0.14703300000000002,0.024174000000000005,#002506,#00cc22,Rab2a
0.8118,0.027552,0.087576,#cf0716,#cf0716,Rab39b
0.0,0.08303699999999997,0.018867999999999992,#001505,#00cc2e,Rab3b
0.13143000000000002,0.25272,0.03666,#224009,#5db21a,Raf1
1.0,0.0,0.0,#ff0000,#ff0000,Ranbp2
1.0,0.0,0.0,#ff0000,#ff0000,Rasd1
0.0,0.136081,0.023352000000000005,#002306,#00cc23,Rasl11a
1.0,0.0,0.0,#ff0000,#ff0000,Rbbp5
0.0,0.284739,0.36818599999999996,#00495e,#009ecc,Rbbp8
0.0,0.125259,0.022188,#002006,#00cc24,Rbm38
1.0,0.0,0.0,#ff0000,#ff0000,Rbp4
0.0,0.029920000000000026,0.009078000000000008,#000802,#00cc3e,Rbsn
0.0,0.252252,0.124852,#004020,#00cc65,Rdh16
0.0,0.19206,0.6111,#00319c,#0040cc,Rfc5
1.0,0.0,0.0,#ff0000,#ff0000,Rfx2
1.0,0.0,0.0,#ff0000,#ff0000,Rfx7
1.0,0.0,0.0,#ff0000,#ff0000,Rgmb
1.0,0.0,0.0,#ff0000,#ff0000,Rgs2
1.0,0.0,0.0,#ff0000,#ff0000,Rgs4
0.0,0.0,0.0,#000000,#666666,Ripk3
0.0,0.29218500000000003,0.34443,#004b58,#00adcc,Rnf128
0.0,0.04773600000000004,0.013338000000000011,#000c03,#00cc39,Rnf138rt1
0.0,0.285,0.206,#004935,#00cc93,Rnf149
1.0,0.0,0.0,#ff0000,#ff0000,Rnft1
1.0,0.0,0.0,#ff0000,#ff0000,Rnpc3
0.0,0.22302500000000003,0.07205,#003912,#00cc42,Rom1
1.0,0.0,0.0,#ff0000,#ff0000,Rora
0.0,0.03858800000000003,0.01130800000000001,#000a03,#00cc3c,Rorb
0.0,0.000999,0.0,#000000,#00cc00,Rpl21-ps4
0.5814269999999999,0.14263,0.12585,#942420,#a82924,Rpl36a
0.0,0.07609599999999997,0.01795799999999999,#001305,#00cc30,Rpp21
0.0,0.130272,0.023322000000000002,#002106,#00cc25,Rsbn1l
0.0,0.052352,0.720658,#000db8,#000fcc,Rsrc1
0.0,0.028096000000000024,0.008608000000000008,#000702,#00cc3f,Rundc1
0.0,0.121752,0.631544,#001fa1,#0027cc,Samd11
0.0,0.226265,0.512356,#003a83,#005acc,Samm50
0.0,0.11159199999999998,0.02146,#001c05,#00cc27,Sbds
0.0,0.23250900000000005,0.08904600000000001,#003b17,#00cc4e,Scd3
1.0,0.0,0.0,#ff0000,#ff0000,Scg2
0.0,0.29301200000000005,0.279837,#004b47,#00ccc3,Scg3
0.0,0.125259,0.022188,#002006,#00cc24,Scrn1
1.0,0.0,0.0,#ff0000,#ff0000,Sdcbp
0.0,0.09317,0.65142,#0018a6,#001dcc,Sebox
0.28733,0.012662,0.591218,#490397,#6104c8,Sec61b
0.0,0.13928400000000002,0.023214000000000002,#002406,#00cc22,Serp1
1.0,0.0,0.0,#ff0000,#ff0000,Sf3b1
1.0,0.0,0.0,#ff0000,#ff0000,Sgk1
0.0,0.27167399999999997,0.114552,#00451d,#00cc56,Sgpl1
1.0,0.0,0.0,#ff0000,#ff0000,Sh2d3c
0.045252,0.17598,0.5053139999999999,#0c2d81,#1141bb,Shc4
0.0,0.025375000000000023,0.007888000000000008,#000602,#00cc3f,Shmt2
1.0,0.0,0.0,#ff0000,#ff0000,Siah2
1.0,0.0,0.0,#ff0000,#ff0000,Sik1
0.0,0.150282,0.5079779999999999,#002682,#003ccc,Slc14a1
0.0,0.126677,0.02227,#002006,#00cc24,Slc16a1
0.98703,0.007976,0.000997,#fc0200,#fc0200,Slc18a2
0.0,0.15362799999999996,0.05635599999999998,#00270e,#00cc4b,Slc18b1
0.0,0.1261,0.022230000000000003,#002006,#00cc24,Slc20a2
0.0,0.029808000000000025,0.01148400000000001,#000803,#00cc4f,Slc23a4
1.0,0.0,0.0,#ff0000,#ff0000,Slc25a25
1.0,0.0,0.0,#ff0000,#ff0000,Slc2a3
0.0,0.11763200000000001,0.713144,#001eb6,#0022cc,Slc2a5
0.0,0.12222,0.02205,#001f06,#00cc25,Slc35c2
0.0,0.279276,0.312613,#004750,#00b6cc,Slc36a4
0.0,0.0,0.0,#000000,#666666,Slc5a10
0.57558,0.147075,0.10653000000000001,#93261b,#ac2c20,Slc6a6
0.0,0.11083399999999999,0.643718,#001ca4,#0023cc,Slc7a15
