"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Slc4a4",9.62285702077834,9.08732784009493,9.16310054331514,9.93504435013256,9.44889958832328,9.51972987746827,9.52491856238428,9.76926888204107,9.38854838203618,9.57254252176084,9.74413077203498,9.57710844821708,9.53781082490117,8.905996814234
"Slc4a5",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18921801653438,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.54585647888108,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc4a7",8.21438377518395,8.17288610193411,8.70464876282439,8.67664630253623,8.31878228600891,8.41167819098304,8.72594951993964,8.87857978523026,8.23738511976633,8.57105697804364,8.70830740000179,8.3166567198488,8.77992161756145,8.28090332099308
"Slc4a8",8.37402202871278,8.19415331778344,8.17209985978224,8.3293416735922,8.54335189816062,8.59684666200967,8.26429330905431,8.5530336966914,8.19116614649094,8.44132885341767,8.41652992687763,8.52756072824312,8.67916365996403,8.16436358523946
"Slc4a9",6.12535811755273,6.00789542020775,6.00789542020775,6.00789542020775,6.26415608346729,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc50a1",7.07904403510204,7.34237067575518,7.16323201904291,6.9815291174248,7.01378718368357,6.96440645933834,7.59553877520013,7.40134782416481,7.27140898061109,6.92933703519492,7.22892622490934,7.34070521657158,7.20216788353374,7.29451391385201
"Slc52a2",7.07904403510204,6.78960827323097,6.95929968566439,7.01439990622267,6.88328493317424,7.06780533812249,7.35159785096925,6.94312200936117,7.14015927715704,6.85135894122011,6.98165430376925,7.07965641695209,6.66093962183814,7.22888124942711
"Slc52a3",6.00789542020775,6.00789542020775,6.00789542020775,6.22421200453504,6.00789542020775,6.13058685540002,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18746547755066,6.00789542020775,6.00789542020775,6.00789542020775
"Slc5a10",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18135510461178,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.08447467824077,6.00789542020775,6.00789542020775
"Slc5a11",6.27026085800674,6.41250197027345,6.37306839320552,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.26168243902759,6.00789542020775,6.00789542020775,6.00789542020775
"Slc5a12",6.43002276588627,6.41250197027345,6.85439481466697,6.65208824272141,6.48575824577318,6.44868254249346,6.45219049937617,6.62081242803597,6.34961770516126,6.54585647888108,6.55837933073128,6.58727292779619,6.76719391934233,6.31237987949272
"Slc5a2",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18746547755066,6.00789542020775,6.00789542020775,6.00789542020775
"Slc5a3",7.85557878855807,7.33156678600194,7.80877499840502,8.24186797977579,8.26995935711177,7.77979842098309,7.50148056916616,8.09110994664605,7.60334975620407,7.70322352680713,8.5653347781252,7.47723998905335,7.9888690508369,7.44248847987502
"Slc5a4b",6.21123463084131,6.00789542020775,6.26645540067602,6.46528419047659,6.26415608346729,6.35419183929332,6.39304379317689,6.53968228213843,6.49004726141346,6.66489236855905,6.49763100533563,6.4900352327798,6.42301843081738,6.31237987949272
"Slc5a5",6.2426267110868,6.8094150681648,6.5229678237222,6.00789542020775,6.6053910098134,6.35419183929332,6.00789542020775,6.86841145953551,6.42593309497704,6.00789542020775,6.54386587416959,6.30400042893026,6.32989002396357,6.43770976266223
"Slc5a6",6.98603248104992,6.70421500867337,7.05242863364238,6.83509331457534,6.95110765740421,6.94213621960853,6.70632652731096,7.07506011381276,6.89984877392174,7.239140530962,6.95031067925711,6.94485771052742,6.87828497975534,6.95542563402716
"Slc5a7",6.12535811755273,6.18931499394586,6.26645540067602,6.27270439505284,6.32154406374198,6.2530571528921,6.23070037425295,6.31607754473868,6.24981130519207,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.31237987949272
"Slc5a8",6.00789542020775,6.00789542020775,6.00789542020775,6.53531521604793,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc5a9",6.12535811755273,6.00789542020775,6.00789542020775,6.00789542020775,6.18921801653438,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc6a1",9.01219739901394,8.8936205225227,8.34559871817798,8.92968421258269,8.14483285073016,8.50837582984604,8.440725307761,8.8269940806031,8.49279956546254,8.85717765517964,8.75169871742901,8.14027845646055,9.03557664000675,9.34812625971767
"Slc6a11",7.76905115993208,8.06099734016554,7.05242863364238,7.55952299904039,7.48245427744207,7.4765325519398,7.31893304200539,7.89515219899332,7.52520068047919,7.38642236894376,7.71655297458075,7.44294118183072,7.89775276683094,7.73347925804326
"Slc6a12",6.00789542020775,6.00789542020775,6.26645540067602,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18746547755066,6.19536562433619,6.00789542020775,6.00789542020775
"Slc6a13",6.37842844571484,6.00789542020775,6.00789542020775,6.00789542020775,6.36982946320942,6.37508873651946,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.6256165003282,6.23741803334926,6.00789542020775,6.00789542020775
"Slc6a15",8.17238674885015,8.17288610193411,8.15009690285146,8.63407348519079,8.34723770115761,8.5102789670495,8.57290509139228,8.33859514964485,8.54432751036952,8.31923505702286,8.25902922398694,8.45161458778917,8.56622308933482,8.49907751634107
"Slc6a17",10.0758012379155,9.91902175593756,9.90941647460976,9.91886259537724,10.149467598847,10.0630152829568,10.2309419849542,10.0806295163783,10.0556659250672,10.1648443414015,10.087065323862,10.027443625569,9.79964763599634,10.114944375638
"Slc6a18",6.27026085800674,6.45083195071082,6.00789542020775,6.00789542020775,6.00789542020775,6.18135510461178,6.23070037425295,6.84183370404922,6.34961770516126,6.00789542020775,6.46410347562643,6.30400042893026,6.00789542020775,6.00789542020775
"Slc6a2",6.00789542020775,6.00789542020775,6.4545480869391,6.00789542020775,6.00789542020775,6.28191242352993,6.32267765226755,6.00789542020775,6.24981130519207,6.00789542020775,6.29154683176058,6.28361846350559,6.37944727411264,6.00789542020775
"Slc6a20a",6.12535811755273,6.00789542020775,6.00789542020775,6.43932460593696,6.45059671180307,6.5258025248937,6.55098405737002,6.00789542020775,6.00789542020775,6.00789542020775,6.68586373881338,6.36620453662096,6.00789542020775,6.31237987949272
"Slc6a20b",6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.24981130519207,6.00789542020775,6.00789542020775,6.00789542020775,6.19405600790964,6.31237987949272
"Slc6a21",6.00789542020775,6.00789542020775,6.5229678237222,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc6a3",6.12535811755273,6.00789542020775,6.4545480869391,6.00789542020775,6.26415608346729,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc6a5",6.12535811755273,6.18931499394586,6.4545480869391,6.00789542020775,6.45059671180307,6.13058685540002,6.32267765226755,6.53968228213843,6.34961770516126,6.38938656197437,6.29154683176058,6.36620453662096,6.30193620520856,6.31237987949272
"Slc6a6",9.27139130379049,9.06244064442159,9.15780851145379,9.3277947934146,9.24894224531732,9.01004265670531,9.19493939758922,9.10343078090257,9.07678096421441,9.70443356653903,9.4413636040467,8.98742686808437,9.2833930715451,8.81496641978062
"Slc6a7",6.67684485335091,6.90124965885801,6.68662015836773,6.8077527461194,6.76883723198351,6.78433616007057,6.67111919392518,7.05440516756968,6.72702552648133,6.54585647888108,6.65043866742626,6.74629915030742,6.71030743396943,7.64436342667929
"Slc6a8",8.50791470235812,8.48641062410931,8.65988062023742,8.77520814552398,8.66364355079767,8.4736538564239,8.47338713700523,8.62681959125224,8.43140261788076,9.28643435432694,8.7431290497878,8.43448990312342,8.79602180952858,8.16436358523946
"Slc6a9",6.88155350505695,7.17961882211371,6.92583247246299,6.95888776543068,6.76883723198351,6.94213621960853,6.83116793796841,7.03326208311365,6.89984877392174,7.0661747594369,7.04109032909834,6.83883306526075,7.41794525578312,7.15860265365279
"Slc7a1",7.53008179573835,7.37413329618578,7.23861275649181,7.76593533983972,7.80170234930183,7.23965319163175,7.03232398509706,7.44459906213669,7.11643858367804,7.51582587577021,7.91476411715031,7.1354357438181,7.38039193519574,7.41448628355017
"Slc7a10",6.82763952791353,6.57825099891503,6.73255067918642,6.88696492987154,6.7262202692449,6.72651432900451,6.77153570530918,6.62081242803597,6.76507682512673,6.00789542020775,6.86623974082918,6.727007784911,7.06248828471331,6.61353816032173
"Slc7a11",7.0671909597746,6.68103017163416,6.5229678237222,6.94733292505112,6.51842284460409,6.89568702631221,6.83116793796841,6.53968228213843,6.80114958423176,6.00789542020775,7.28609462583826,6.50761623296303,6.53191706702333,6.8048112679059
"Slc7a13",6.12535811755273,6.18931499394586,6.26645540067602,6.00789542020775,6.18921801653438,6.13058685540002,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.08447467824077,6.00789542020775,6.43770976266223
"Slc7a14",10.1822585690198,9.84226329342025,10.1370391000414,10.4298958893477,10.5980532044223,10.4913923348546,10.2272342158977,10.3656170789977,10.0181662766569,10.3367122723962,10.1877466391496,10.1547394981124,10.1925787223166,9.71452413485019
"Slc7a15",6.2426267110868,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.18135510461178,6.00789542020775,6.49380122924978,6.00789542020775,6.00789542020775,6.18746547755066,6.14050347117459,6.00789542020775,6.00789542020775
"Slc7a2",7.26061436610276,6.90124965885801,7.05242863364238,7.3684470168871,6.82826931406447,7.08072146367393,7.07593995950876,7.09525528623264,7.18589406361482,6.92933703519492,7.29163824698579,6.75386435721314,7.20216788353374,7.04231822281836
"Slc7a3",6.59138613173927,6.18931499394586,6.00789542020775,6.41164700335458,6.4122868113539,6.28191242352993,6.00789542020775,6.53968228213843,6.00789542020775,6.38938656197437,6.31852034931344,6.41894401573724,6.23581576096056,6.31237987949272
"Slc7a4",8.37209202549776,8.11254646354432,8.49053079367044,7.72307347571634,8.16653516104997,8.3785368966721,8.4274356882264,8.75340331444362,8.52248330591875,7.95283434300652,8.06311021798568,8.30116832794674,7.96918273128669,8.38800741838357
"Slc7a5",7.92286691425159,8.07841043981237,7.83749964957944,8.29156255584985,7.65697157183585,7.80298342326866,8.01568931125008,8.07448872570995,7.81068838062287,7.89500315988835,7.93072424636801,7.73468259305682,7.77648635722465,7.73347925804326
"Slc7a6",7.49933784050325,7.75868822962621,8.08175925539861,7.70659733890304,7.69678842944627,7.53979064455068,7.5561754726223,7.9331134372826,7.47558417020331,7.70322352680713,7.82830380805061,7.20356994740231,7.95588618434651,7.26222996350496
"Slc7a6os",7.42272402324461,7.36365126527432,7.39533575556017,7.41228689767651,7.20394693480608,7.18953747242485,7.0543977364786,6.69189816365652,7.27140898061109,7.33960689560775,7.3917202145449,7.2422769288325,7.06999435863723,6.8048112679059
"Slc7a7",6.56786073094651,6.18931499394586,6.63708515736438,6.27270439505284,6.32154406374198,6.30797616612018,6.00789542020775,6.00789542020775,6.42593309497704,6.54585647888108,6.42781258070925,6.56205324920476,6.59297763654871,6.00789542020775
"Slc7a8",7.45563373908538,7.83094812010298,7.35290594628984,8.24186797977579,8.1984268030849,7.85123411096686,7.96915817416621,7.8460130193748,7.63318307529267,7.95283434300652,7.92117258515705,7.82202232851508,8.06470391516637,8.00228084516044
"Slc7a9",6.17396694109869,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775,6.00789542020775
"Slc8a1",6.76948856491207,6.54932977785555,6.68662015836773,6.51309295781023,6.36982946320942,6.66316121689529,6.50414756771599,6.65739326680745,6.64354088880385,6.85135894122011,6.65043866742626,6.59217960814536,6.79920151582367,7.15860265365279
"Slc8a2",11.3214320364405,11.1599104694605,11.0173460982297,11.348235154933,11.5461832594527,11.3950640796103,11.4763834678621,11.3847343602907,11.332681893527,11.2417613053233,11.08294590555,11.3504694291636,11.1417163360052,10.7016917576723
"Slc8a3",6.83558075707183,6.99905459290031,6.58301153406667,6.87432134908404,6.96721837615901,7.03467892956265,7.09698281566775,6.84183370404922,7.04137815769099,7.29060391929491,6.82990094411171,7.03611975547177,7.00004107425998,6.74700262656191
"Slc8b1",6.4758222618614,6.54932977785555,6.77552660397811,6.59676155282761,6.54904332597805,6.6170033867474,6.23070037425295,6.53968228213843,6.49004726141346,6.00789542020775,6.57250240698266,6.61608776570851,6.87828497975534,6.31237987949272
"Slc9a1",7.71206870723189,7.69760197517618,7.55025631455544,7.9692392778577,7.60733937891606,7.7424454878493,7.6083665283101,7.92373050860659,7.93154627901591,7.8650509719432,7.51064301520307,7.93495446398325,7.76484243929148,8.16436358523946
"Slc9a2",6.21123463084131,6.37002228159408,6.5229678237222,6.53531521604793,6.00789542020775,6.22027544223045,6.39304379317689,6.00789542020775,6.64354088880385,6.76440542676067,6.46410347562643,6.00789542020775,6.42301843081738,7.19437469332295
"Slc9a3r1",7.69245600941594,7.36365126527432,6.73255067918642,7.51474581400709,7.086282657193,7.06127742923796,7.5561754726223,7.41595714300866,7.2295706866236,7.00047654187876,7.58483493464516,7.14247162474178,7.46439520121617,7.22888124942711
"Slc9a3r2",6.63566179544702,7.12772497976106,6.73255067918642,6.79368869620962,6.65661464065312,7.0480774457401,6.59393047198009,6.58175750739813,6.76507682512673,6.00789542020775,6.91773299113496,7.0013195215899,6.62112185528049,7.15860265365279
"Slc9a4",6.29522346687915,6.00789542020775,6.85439481466697,6.34944426856938,6.26415608346729,6.37508873651946,6.63378946340897,6.22601984242062,6.34961770516126,6.38938656197437,6.38796692754587,6.08447467824077,6.19405600790964,6.31237987949272
"Slc9a5",8.28014955525905,8.09559124323555,7.56819791686551,7.52125207729788,7.54661130141624,7.74932339263237,8.11245973879118,7.94242676953104,8.04177453482218,8.20816664734832,7.76467666165056,7.7953160462691,7.90820962587237,6.99996897128358
"Slc9a6",8.22521569497857,8.15126682405872,8.32632816855674,8.39862140927764,8.36124090897236,8.35313129212208,8.59668678716256,8.21692932825747,8.23738511976633,8.06111824291792,8.16738523263096,8.25089264318452,8.30237855464032,8.06958079905762
"Slc9a7",7.44340826131251,6.90124965885801,6.89092431100417,7.69548547668725,7.51039966287831,7.61516985478652,7.36755773644848,7.45864367770464,7.20797492797165,7.18488127009796,7.34023616537089,7.36345105632409,7.51381445655939,7.12143948795756
