,gene,MIC,KLD,MWU,MIC_log,KLD_log,MWU_log
568,Adh6b,0.0,0.25347563123656436,0.836171876226159,-inf,-1.3724875898159332,0.17892109345693707
569,Adhfe1,0.0,0.18458205393613583,0.17524424540000594,-inf,-1.6896611775864216,1.7415745901257922
570,Adi1,0.0,0.12384409460276355,0.5612758361345778,-inf,-2.088731806034504,0.5775428077832481
571,Adipor1,0.05380155558726951,0.10722106424159118,0.40138716571176614,-2.9224528979708926,-2.232862554857046,0.9128288169433143
572,Adipor2,0.07868817690246188,0.3430225213257089,0.03315998745884777,-2.5422623648004414,-1.0699591741299934,3.4064113269163276
573,Adk,0.0,0.10457551610222514,0.17524424540000594,-inf,-2.257845826430814,1.7415745901257922
574,Adm,0.0,0.1718454563005754,0.6381418628377137,-inf,-1.7611597159510202,0.44919466480967163
575,Adnp,0.0,0.0804263147717711,1.0,-inf,-2.5204138581912168,-0.0
576,Adnp2,0.16023579595008086,0.12829020420498963,0.02386844216457435,-1.8311088239268005,-2.0534603609769713,3.7351981040801885
577,Ado,0.0,0.11511541670436676,0.6513784464763926,-inf,-2.161820030396019,0.42866447468804925
578,Adora1,0.0,0.0716694052452588,0.746885633390364,-inf,-2.63569132752813,0.2918432067882265
579,Adora2b,0.0998333016190156,0.16919153443836885,0.15827554545345557,-2.304253467767425,-1.7767238659318605,1.8434178063190252
580,Adora3,0.0,0.15554743224158915,0.746885633390364,-inf,-1.860804563382656,0.2918432067882265
581,Adpgk,0.0,0.12779114948085515,0.8464505968765906,-inf,-2.057357992325252,0.16670344074632326
582,Adprh,0.0,0.20869710103454725,0.47767502398590367,-inf,-1.5668713555821976,0.7388246438427432
583,Adprhl2,0.0,0.11577010837040606,0.8464505968765906,-inf,-2.1561488786812717,0.16670344074632326
584,Adprm,0.0,0.14809671830253052,0.6513784464763926,-inf,-1.909889716613374,0.42866447468804925
585,Adra1a,0.0,0.15092835852411624,0.9485325168506443,-inf,-1.8909500016128937,0.052839207800764176
586,Adra1b,0.0,0.35526667522531585,0.7303543187132255,-inf,-1.0348865736967905,0.31422549449238685
587,Adra1d,0.0,0.09950194713956756,0.8464505968765906,-inf,-2.30757806576718,0.16670344074632326
588,Adra2a,0.0,0.16207090388809986,0.6982198193799275,-inf,-1.8197213611813672,0.3592212983206078
589,Adra2b,0.0,5.585624777128643,0.7960340952569827,-inf,1.7201962932526378,0.22811326081765557
590,Adra2c,0.2445611927754776,0.1030403385682445,0.22003136358141206,-1.4082897241810066,-2.2726347308371935,1.5139851810570426
591,Adrb1,0.37729928801357304,0.10826343772552348,0.008132021898881838,-0.974716539070178,-2.223187783771228,4.811945690292728
592,Adrb2,0.0,0.1502014478940958,0.36082531482486757,-inf,-1.895777899924292,1.0193613302148807
593,Adrbk1,0.012106544249401052,0.11073276896676128,0.40138716571176614,-4.41400912552656,-2.2006354671117228,0.9128288169433143
594,Adrbk2,0.0,0.11324324186954067,0.40138716571176614,-inf,-2.178217190840726,0.9128288169433143
595,Adrm1,0.0,0.09940338591468094,0.6513784464763926,-inf,-2.3085691023717803,0.42866447468804925
596,Adsl,0.0,0.1489561035311767,1.0,-inf,-1.9041036236152071,-0.0
