"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"Atg2a",7.91646435228582,8.29675955704233,8.1021017276501,8.1295938550618,8.35587414217741,8.30665234957221,8.12533161853795,8.29937120592603,8.14183512379221,8.4447976937007,8.86005442041434,8.39488317095215,8.02057997145409
"Atg2b",7.86391698294003,8.27752520714206,8.13596084019482,8.14137342336895,7.88447893701882,8.20749197162177,8.1066995901811,8.20627492264825,7.59813769004747,8.49104319642383,8.11815358230941,8.15391486204758,8.23140586844553
"Atg3",7.50974409885616,7.71072033426075,7.87676083700797,7.67009474459128,7.86105458898149,7.64121343608201,7.88070699456132,8.1819031992303,7.72312501420449,7.51017500872001,7.42876844000801,7.65558719735442,7.63969791742678
"Atg4a",6.85608048581068,6.48459035088829,6.19555391767952,6.88622533853764,6.41614559569752,6.53036144137941,6.79545159115533,6.19555391767952,6.8477412056584,7.00862163898924,7.00071729081291,6.91962404141443,6.80085349155462
"Atg4b",7.9334792528074,7.90231874630411,8.39694436916874,8.12167908477275,7.84317669471324,8.04253243860979,8.10401511895195,7.59203267234431,7.91348292762516,7.74840970592789,8.05101321211307,7.80622324764346,8.04503248714542
"Atg4c",7.67995793361916,7.62238885462125,7.69871572794553,7.85206271832394,7.95758355639253,7.96154649227351,7.62949042765436,7.52945063429034,7.80853748996795,7.51017500872001,8.07056832884795,7.72801709334034,7.72528376615877
"Atg4d",7.25936942160841,7.43051285577162,7.44698999390393,7.44501640999479,7.68927412037363,7.45481262763071,7.5015942969954,7.5715773478851,7.69317001768806,7.22732374262818,7.02822972524469,7.59036612044142,7.62592438173247
"Atg5",7.32089128653976,7.1660506465685,7.21896428706751,7.38589527854799,6.77583383999065,7.12832717566024,7.49249073048771,6.95654875900289,7.18102035198833,7.30626020756107,7.12937436691036,7.31150613936276,7.47749985733909
"Atg7",7.52197482184789,7.1660506465685,7.29335741314269,7.14374441179706,7.24280876633884,7.40764174482614,7.25028034222528,7.72542485254035,7.30711956416652,7.62659859393844,7.49497964601662,7.06186575701537,7.4694967141212
"Atg9a",8.796233732338,9.12941417957544,8.72554879432772,8.98979025309259,8.93188205194737,8.94007338599509,8.8925267478907,8.80996738834171,8.73901241000956,8.66946596622615,8.88643881845059,8.86422134992361,8.91151698442224
"Atg9b",6.7364213996046,6.79393949463213,6.86755046618435,6.39668011885229,7.0386845494348,6.74027855255283,6.74981694602558,6.63828652747328,6.6186153965533,6.19555391767952,6.50325841490017,6.85039642719293,6.74190363845126
"Athl1",6.79939244866084,6.48459035088829,6.67285474973149,6.39668011885229,6.81531286785379,6.72317452634641,6.80629968235836,7.20151462791769,6.69541841155001,6.62422766366608,6.19555391767952,6.68105542914854,6.63824228908163
"Atic",7.29064238812085,7.43051285577162,7.13768495308341,7.13373346829363,7.43508603989604,7.44820800373561,7.55890912652348,7.21649608487449,7.24628579972283,7.55041305391592,6.87851201094733,7.37386142506798,7.39446281520601
"Atl1",8.72027628404567,8.76251727234385,8.65250788202228,8.88011463595704,8.87899682918967,8.88126483236646,8.62518321462385,8.79843189407346,8.98863105282548,8.41625303124058,8.78335684097193,8.69453464433004,8.67964327527364
"Atl2",7.7610291933029,7.67940550748934,8.11348992067055,7.7376727350558,7.66848399695072,7.62452877560825,7.62546335996408,7.62200723409924,7.66239255841192,7.35538218617649,7.7879179352471,7.63231801108378,7.55430563235691
"Atl3",7.45932227036516,7.5262678756175,7.71465441329666,7.37824979109751,7.60365870038168,7.28258175568369,7.44572096253612,7.31488847605135,7.163905849724,7.68043636910556,7.65806862912035,7.52094077789881,7.68001569957723
"Atm",7.30588942658529,7.2548805243537,7.26923211987813,7.12359955333642,7.47777360691696,6.88742723143671,7.08939527390885,7.08850639498086,7.24628579972283,7.51017500872001,7.82416582630507,7.59036612044142,7.44510293409121
"Atmin",8.12829959278885,8.05584517167645,8.20106930525178,8.08951073646889,7.72973335593717,8.20060043520206,8.1770955554168,8.37036780708202,7.90508340049969,8.29541775967648,8.12745736339927,8.01379924182134,7.91487272919715
"Atn1",9.26053796237077,9.30373660827871,8.93601836523376,9.09715959098597,8.66020933797472,9.09220065862592,9.05308856526137,9.22087202552366,9.15172607363767,9.48152599751983,9.15192428336449,9.21818904629759,8.8247657794773
"Atoh7",6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952,6.46369509969545,6.19555391767952,6.19555391767952,6.19555391767952,6.19555391767952
"Atoh8",6.57911798520819,6.52911940652816,6.4350192279955,6.44178276476761,6.54383351762919,6.64804644280308,6.45522198370321,6.70611736632625,6.79174783549084,6.19555391767952,6.41333964785737,6.50980306594914,6.70976758836068
