tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Fbln1,0.7228924690570354,0.6547751773704641,0.18390779311985977,yoked vs. trained,NS
DG,Fbln2,-0.01864668361911944,0.994407692453697,0.0024355247754309973,yoked vs. trained,NS
DG,Fbn1,0.29063795723364394,0.8143587455383055,0.08918423530063277,yoked vs. trained,NS
DG,Fbrs,0.2281700506089601,0.6328626779596892,0.1986905153763199,yoked vs. trained,NS
DG,Fbrsl1,0.2650146884936789,0.6819423417104264,0.16625234343085796,yoked vs. trained,NS
DG,Fbxl12,-0.27789957358963785,0.8552902128659609,0.06788649759864106,yoked vs. trained,NS
DG,Fbxl14,-5.262548989192093e-4,0.9996690638913684,1.4374751277460701e-4,yoked vs. trained,NS
DG,Fbxl15,-0.18595825324347284,0.8989392026973365,0.04626967959704959,yoked vs. trained,NS
DG,Fbxl16,-0.04957921087383523,0.9254041702041267,0.03366854774452902,yoked vs. trained,NS
DG,Fbxl17,0.17641401164317894,0.8166393034944677,0.08796972203731519,yoked vs. trained,NS
DG,Fbxl18,-0.2618221297673789,0.5887542779618395,0.23006592421384003,yoked vs. trained,NS
DG,Fbxl19,-0.26321704454777767,0.8098026274688693,0.09162081846241878,yoked vs. trained,NS
DG,Fbxl2,-0.7061608714789931,0.08282942867426983,1.0818153342280321,yoked vs. trained,yoked
DG,Fbxl20,0.02271443178327511,0.9836939793579046,0.0071399866770912625,yoked vs. trained,NS
DG,Fbxl3,-0.1133248968943318,0.8537251489726205,0.06868192497499723,yoked vs. trained,NS
DG,Fbxl4,0.2103631185062691,0.9229311819237479,0.03483068079967061,yoked vs. trained,NS
DG,Fbxl5,0.08164134000824949,0.9209679230325764,0.03575549585369245,yoked vs. trained,NS
DG,Fbxl6,-0.533443532382414,0.1768433049120501,0.7524113774369694,yoked vs. trained,NS
DG,Fbxo10,0.29167934769401654,0.7047734263177354,0.1519504794841232,yoked vs. trained,NS
DG,Fbxo11,-0.09471419487975397,0.8440067660155456,0.07365407182050868,yoked vs. trained,NS
DG,Fbxo18,-0.21491835107464555,0.7672024710925877,0.11509000701029848,yoked vs. trained,NS
DG,Fbxo2,0.28403304247180905,0.8652859387935008,0.06284035366854447,yoked vs. trained,NS
DG,Fbxo21,-0.03687995802444023,0.9613241285233962,0.017130157081391716,yoked vs. trained,NS
DG,Fbxo22,-0.1295189501895833,0.9246278174395861,0.03403304494640864,yoked vs. trained,NS
DG,Fbxo25,0.05048755611487383,0.9426384969991681,0.025654827792058413,yoked vs. trained,NS
