"","tissue","gene","lfc","padj","logpadj","comparison","direction"
"669","DG","Dnaja4",0.7,"3.10e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"670","DG","Dnajb1",2.09,"1.60e-02",1.8,"standard.yoked vs. standard.trained","standard.trained"
"671","DG","Dnajb4",1.4,"9.52e-04",3.02,"standard.yoked vs. standard.trained","standard.trained"
"672","DG","Dnajb5",0.82,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"673","DG","Dusp16",2.53,"6.20e-05",4.21,"standard.yoked vs. standard.trained","standard.trained"
"674","DG","Dusp4",1.33,"1.09e-03",2.96,"standard.yoked vs. standard.trained","standard.trained"
"675","DG","Dusp5",2.37,"5.24e-03",2.28,"standard.yoked vs. standard.trained","standard.trained"
"676","DG","Dusp6",2.36,"9.85e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"677","DG","Dusp8",0.77,"4.79e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"678","DG","Efnb2",2.1,"1.23e-02",1.91,"standard.yoked vs. standard.trained","standard.trained"
"679","DG","Egr1",2.47,"2.64e-03",2.58,"standard.yoked vs. standard.trained","standard.trained"
"680","DG","Egr3",1.2,"5.89e-03",2.23,"standard.yoked vs. standard.trained","standard.trained"
"681","DG","Egr4",3.08,"1.34e-05",4.87,"standard.yoked vs. standard.trained","standard.trained"
"682","DG","Entpd1",2.61,"1.55e-02",1.81,"standard.yoked vs. standard.trained","standard.trained"
"683","DG","Eprs",0.9,"4.26e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"684","DG","Erf",1.32,"5.15e-05",4.29,"standard.yoked vs. standard.trained","standard.trained"
"685","DG","Errfi1",2.02,"1.67e-06",5.78,"standard.yoked vs. standard.trained","standard.trained"
"686","DG","Etf1",0.89,"9.05e-03",2.04,"standard.yoked vs. standard.trained","standard.trained"
"687","DG","Fam107b",2.31,"1.79e-05",4.75,"standard.yoked vs. standard.trained","standard.trained"
"688","DG","Fam118a",1.37,"5.81e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"689","DG","Fbxo33",2.8,"5.24e-03",2.28,"standard.yoked vs. standard.trained","standard.trained"
"690","DG","Fbxw7",0.94,"9.66e-03",2.02,"standard.yoked vs. standard.trained","standard.trained"
"691","DG","Filip1l",5.25,"4.82e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"692","DG","Fos",2.21,"2.11e-02",1.68,"standard.yoked vs. standard.trained","standard.trained"
"693","DG","Fosb",2.8,"1.02e-02",1.99,"standard.yoked vs. standard.trained","standard.trained"
"694","DG","Fosl2",2.58,"3.41e-04",3.47,"standard.yoked vs. standard.trained","standard.trained"
"695","DG","Frmd6",3.22,"2.16e-04",3.67,"standard.yoked vs. standard.trained","standard.trained"
"696","DG","Fzd4",2.21,"6.14e-03",2.21,"standard.yoked vs. standard.trained","standard.trained"
"697","DG","Fzd5",4.06,"3.39e-09",8.47,"standard.yoked vs. standard.trained","standard.trained"
"698","DG","Gadd45g",1.39,"6.47e-03",2.19,"standard.yoked vs. standard.trained","standard.trained"
"699","DG","Gch1",3.13,"6.14e-03",2.21,"standard.yoked vs. standard.trained","standard.trained"
"700","DG","Gcnt2",2.71,"1.45e-03",2.84,"standard.yoked vs. standard.trained","standard.trained"
"701","DG","Gm12258",-1.83,"4.27e-02",1.37,"standard.yoked vs. standard.trained","standard.yoked"
"702","DG","Gm13889",2.36,"3.15e-05",4.5,"standard.yoked vs. standard.trained","standard.trained"
"703","DG","Gm20517",6.17,"6.25e-02",1.2,"standard.yoked vs. standard.trained","standard.trained"
"704","DG","Gpr19",1.45,"3.10e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"705","DG","Gprc5a",6.75,"7.12e-02",1.15,"standard.yoked vs. standard.trained","standard.trained"
"706","DG","Gpx8",6.47,"8.37e-02",1.08,"standard.yoked vs. standard.trained","standard.trained"
"707","DG","Heca",1.11,"1.55e-02",1.81,"standard.yoked vs. standard.trained","standard.trained"
"708","DG","Hmgcr",1.55,"1.10e-04",3.96,"standard.yoked vs. standard.trained","standard.trained"
"709","DG","Homer1",2.97,"1.35e-04",3.87,"standard.yoked vs. standard.trained","standard.trained"
"710","DG","Hsp90aa1",0.82,"4.40e-03",2.36,"standard.yoked vs. standard.trained","standard.trained"
"711","DG","Hspa1a",2.71,"2.10e-02",1.68,"standard.yoked vs. standard.trained","standard.trained"
"712","DG","Hspa1b",2.41,"5.78e-02",1.24,"standard.yoked vs. standard.trained","standard.trained"
"713","DG","Hspa8",0.62,"7.78e-02",1.11,"standard.yoked vs. standard.trained","standard.trained"
"714","DG","Hsph1",0.97,"5.16e-04",3.29,"standard.yoked vs. standard.trained","standard.trained"
"715","DG","Icam1",2.7,"2.84e-02",1.55,"standard.yoked vs. standard.trained","standard.trained"
"716","DG","Ier3",3.89,"2.44e-03",2.61,"standard.yoked vs. standard.trained","standard.trained"
"717","DG","Ifrd1",2.33,"4.11e-03",2.39,"standard.yoked vs. standard.trained","standard.trained"
"718","DG","Ing4",-1.23,"5.42e-02",1.27,"standard.yoked vs. standard.trained","standard.yoked"
"719","DG","Insig1",1.01,"9.36e-02",1.03,"standard.yoked vs. standard.trained","standard.trained"
"720","DG","Iqgap1",1.09,"9.79e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"721","DG","Irs1",1.51,"4.97e-03",2.3,"standard.yoked vs. standard.trained","standard.trained"
"722","DG","Irs2",1.69,"1.30e-05",4.88,"standard.yoked vs. standard.trained","standard.trained"
"723","DG","Itga5",2.53,"2.72e-02",1.57,"standard.yoked vs. standard.trained","standard.trained"
"724","DG","Jmjd1c",0.8,"3.06e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"725","DG","Jun",1.06,"7.48e-03",2.13,"standard.yoked vs. standard.trained","standard.trained"
"726","DG","Junb",2.17,"5.16e-04",3.29,"standard.yoked vs. standard.trained","standard.trained"
"727","DG","Jund",1.69,"5.52e-03",2.26,"standard.yoked vs. standard.trained","standard.trained"
"728","DG","Kctd12",0.88,"2.48e-02",1.61,"standard.yoked vs. standard.trained","standard.trained"
"729","DG","Kdm6b",1.14,"3.41e-04",3.47,"standard.yoked vs. standard.trained","standard.trained"
"730","DG","Kdm7a",0.83,"3.42e-02",1.47,"standard.yoked vs. standard.trained","standard.trained"
"731","DG","Kitl",2.12,"8.80e-02",1.06,"standard.yoked vs. standard.trained","standard.trained"
"732","DG","Klf2",1.46,"5.62e-02",1.25,"standard.yoked vs. standard.trained","standard.trained"
"733","DG","Klhl21",-1.43,"2.22e-02",1.65,"standard.yoked vs. standard.trained","standard.yoked"
"734","DG","Lbh",1.71,"8.48e-04",3.07,"standard.yoked vs. standard.trained","standard.trained"
"735","DG","Lemd3",1.43,"2.18e-03",2.66,"standard.yoked vs. standard.trained","standard.trained"
"736","DG","Lgr4",1.18,"5.55e-02",1.26,"standard.yoked vs. standard.trained","standard.trained"
"737","DG","Lmna",2.31,"7.26e-09",8.14,"standard.yoked vs. standard.trained","standard.trained"
"738","DG","Lrrc32",7.65,"5.16e-04",3.29,"standard.yoked vs. standard.trained","standard.trained"
"739","DG","Mafk",1.63,"6.69e-02",1.17,"standard.yoked vs. standard.trained","standard.trained"
"740","DG","March11",1.77,"1.86e-02",1.73,"standard.yoked vs. standard.trained","standard.trained"
"741","DG","Mcl1",0.91,"3.91e-03",2.41,"standard.yoked vs. standard.trained","standard.trained"
"742","DG","Mest",2.11,"2.82e-04",3.55,"standard.yoked vs. standard.trained","standard.trained"
"743","DG","Mknk2",0.84,"4.79e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"744","DG","Mn1",1.3,"4.88e-02",1.31,"standard.yoked vs. standard.trained","standard.trained"
"745","DG","Nap1l5",0.98,"2.85e-02",1.55,"standard.yoked vs. standard.trained","standard.trained"
"746","DG","Ndel1",0.86,"7.78e-02",1.11,"standard.yoked vs. standard.trained","standard.trained"
"747","DG","Neurod2",-0.54,"4.82e-02",1.32,"standard.yoked vs. standard.trained","standard.yoked"
"748","DG","Nfil3",2.31,"1.28e-02",1.89,"standard.yoked vs. standard.trained","standard.trained"
"749","DG","Nfkb1",1.03,"7.49e-02",1.13,"standard.yoked vs. standard.trained","standard.trained"
"750","DG","Nlrp3",3.82,"1.93e-04",3.71,"standard.yoked vs. standard.trained","standard.trained"
"751","DG","Npas4",3.19,"5.60e-05",4.25,"standard.yoked vs. standard.trained","standard.trained"
"752","DG","Nptx2",2.05,"2.79e-07",6.55,"standard.yoked vs. standard.trained","standard.trained"
"753","DG","Nr4a1",2.84,"4.26e-03",2.37,"standard.yoked vs. standard.trained","standard.trained"
"754","DG","Nr4a2",2.52,"1.71e-02",1.77,"standard.yoked vs. standard.trained","standard.trained"
"755","DG","Nr4a3",3.15,"3.10e-02",1.51,"standard.yoked vs. standard.trained","standard.trained"
"756","DG","Nuak1",0.82,"1.42e-02",1.85,"standard.yoked vs. standard.trained","standard.trained"
"757","DG","Nup54",1.19,"7.50e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"758","DG","Odc1",1.18,"1.25e-03",2.9,"standard.yoked vs. standard.trained","standard.trained"
"759","DG","Otud1",2.37,"2.32e-05",4.63,"standard.yoked vs. standard.trained","standard.trained"
"760","DG","P4ha1",0.92,"2.10e-02",1.68,"standard.yoked vs. standard.trained","standard.trained"
"761","DG","Pak6",1.01,"5.56e-02",1.25,"standard.yoked vs. standard.trained","standard.trained"
"762","DG","Pcdh8",1.57,"1.28e-02",1.89,"standard.yoked vs. standard.trained","standard.trained"
"763","DG","Pcdhgc3",0.76,"7.78e-02",1.11,"standard.yoked vs. standard.trained","standard.trained"
"764","DG","Pde4b",1.16,"4.26e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"765","DG","Peli1",1.6,"3.58e-04",3.45,"standard.yoked vs. standard.trained","standard.trained"
"766","DG","Per1",1.79,"2.64e-03",2.58,"standard.yoked vs. standard.trained","standard.trained"
"767","DG","Phlda1",1.94,"1.00e-03",3,"standard.yoked vs. standard.trained","standard.trained"
"768","DG","Piga",1.84,"1.42e-02",1.85,"standard.yoked vs. standard.trained","standard.trained"
"769","DG","Plagl1",1.94,"5.15e-05",4.29,"standard.yoked vs. standard.trained","standard.trained"
"770","DG","Plek",1.68,"1.40e-03",2.86,"standard.yoked vs. standard.trained","standard.trained"
"771","DG","Plk2",2.15,"1.96e-04",3.71,"standard.yoked vs. standard.trained","standard.trained"
"772","DG","Plk3",2.27,"9.01e-03",2.05,"standard.yoked vs. standard.trained","standard.trained"
"773","DG","Pou3f3",0.8,"4.64e-02",1.33,"standard.yoked vs. standard.trained","standard.trained"
"774","DG","Ppp1r15a",1.9,"3.85e-06",5.41,"standard.yoked vs. standard.trained","standard.trained"
"775","DG","Ppp1r15b",0.93,"2.54e-02",1.59,"standard.yoked vs. standard.trained","standard.trained"
"776","DG","Ppp1r18",2.32,"4.69e-02",1.33,"standard.yoked vs. standard.trained","standard.trained"
"777","DG","Prkaca",-0.57,"7.23e-02",1.14,"standard.yoked vs. standard.trained","standard.yoked"
"778","DG","Prss43",4.42,"4.26e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"779","DG","Ptbp1",0.86,"3.56e-02",1.45,"standard.yoked vs. standard.trained","standard.trained"
"780","DG","Ptger4",3.3,"4.31e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"781","DG","Ptgs2",2.54,"1.20e-02",1.92,"standard.yoked vs. standard.trained","standard.trained"
"782","DG","Pthlh",4.7,"7.33e-02",1.13,"standard.yoked vs. standard.trained","standard.trained"
"783","DG","Ptp4a1",0.72,"4.79e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"784","DG","Rab20",5.53,"5.37e-02",1.27,"standard.yoked vs. standard.trained","standard.trained"
"785","DG","Ranbp2",1.78,"3.29e-02",1.48,"standard.yoked vs. standard.trained","standard.trained"
"786","DG","Rasd1",3.01,"1.33e-03",2.87,"standard.yoked vs. standard.trained","standard.trained"
"787","DG","Rasl11a",2.6,"6.71e-04",3.17,"standard.yoked vs. standard.trained","standard.trained"
"788","DG","Rela",1.44,"7.99e-02",1.1,"standard.yoked vs. standard.trained","standard.trained"
"789","DG","Rfx2",3.29,"2.35e-05",4.63,"standard.yoked vs. standard.trained","standard.trained"
"790","DG","Rgs2",2.65,"4.35e-03",2.36,"standard.yoked vs. standard.trained","standard.trained"
"791","DG","Rgs4",1.78,"4.23e-06",5.37,"standard.yoked vs. standard.trained","standard.trained"
"792","DG","Rnase4",2.6,"6.12e-02",1.21,"standard.yoked vs. standard.trained","standard.trained"
"793","DG","Rnpep",1.27,"4.05e-02",1.39,"standard.yoked vs. standard.trained","standard.trained"
"794","DG","Rora",1.78,"2.88e-03",2.54,"standard.yoked vs. standard.trained","standard.trained"
"795","DG","Rrad",2.55,"6.85e-02",1.16,"standard.yoked vs. standard.trained","standard.trained"
"796","DG","Rtl1",2.74,"6.20e-05",4.21,"standard.yoked vs. standard.trained","standard.trained"
"797","DG","Runx1",4.11,"3.29e-02",1.48,"standard.yoked vs. standard.trained","standard.trained"
"798","DG","Sat1",1.44,"4.28e-03",2.37,"standard.yoked vs. standard.trained","standard.trained"
"799","DG","Scg2",1.19,"1.40e-03",2.86,"standard.yoked vs. standard.trained","standard.trained"
"800","DG","Sde2",1.67,"2.64e-03",2.58,"standard.yoked vs. standard.trained","standard.trained"
"801","DG","Sertad1",2.46,"3.02e-03",2.52,"standard.yoked vs. standard.trained","standard.trained"
"802","DG","Sgk1",2.37,"2.32e-05",4.63,"standard.yoked vs. standard.trained","standard.trained"
"803","DG","Siah2",1.89,"3.62e-04",3.44,"standard.yoked vs. standard.trained","standard.trained"
"804","DG","Sik1",2.01,"3.15e-05",4.5,"standard.yoked vs. standard.trained","standard.trained"
"805","DG","Slc16a1",1.9,"1.40e-03",2.86,"standard.yoked vs. standard.trained","standard.trained"
"806","DG","Slc25a25",1,"1.02e-02",1.99,"standard.yoked vs. standard.trained","standard.trained"
"807","DG","Slc2a6",-1.12,"7.23e-02",1.14,"standard.yoked vs. standard.trained","standard.yoked"
"808","DG","Slc7a1",1.24,"7.78e-02",1.11,"standard.yoked vs. standard.trained","standard.trained"
"809","DG","Smad7",3.44,"3.71e-16",15.43,"standard.yoked vs. standard.trained","standard.trained"
"810","DG","Snx18",2.08,"1.30e-05",4.88,"standard.yoked vs. standard.trained","standard.trained"
"811","DG","Spry2",1.37,"1.69e-04",3.77,"standard.yoked vs. standard.trained","standard.trained"
"812","DG","Spty2d1",1.46,"3.35e-03",2.48,"standard.yoked vs. standard.trained","standard.trained"
"813","DG","Srf",1.33,"3.41e-04",3.47,"standard.yoked vs. standard.trained","standard.trained"
"814","DG","Syt4",1.48,"1.09e-03",2.96,"standard.yoked vs. standard.trained","standard.trained"
"815","DG","Tdrp",1.65,"4.04e-03",2.39,"standard.yoked vs. standard.trained","standard.trained"
"816","DG","Thbs1",5.81,"4.26e-03",2.37,"standard.yoked vs. standard.trained","standard.trained"
"817","DG","Tiam2",0.81,"7.78e-02",1.11,"standard.yoked vs. standard.trained","standard.trained"
"818","DG","Tiparp",2.87,"2.32e-05",4.63,"standard.yoked vs. standard.trained","standard.trained"
"819","DG","Tnfaip3",2.51,"9.25e-02",1.03,"standard.yoked vs. standard.trained","standard.trained"
"820","DG","Tnip2",0.75,"4.78e-02",1.32,"standard.yoked vs. standard.trained","standard.trained"
"821","DG","Tra2b",0.86,"2.14e-02",1.67,"standard.yoked vs. standard.trained","standard.trained"
"822","DG","Trib1",3.19,"5.61e-02",1.25,"standard.yoked vs. standard.trained","standard.trained"
"823","DG","Tsc22d2",1.43,"6.27e-03",2.2,"standard.yoked vs. standard.trained","standard.trained"
"824","DG","Ubc",1.15,"4.54e-05",4.34,"standard.yoked vs. standard.trained","standard.trained"
"825","DG","Uspl1",0.95,"4.27e-02",1.37,"standard.yoked vs. standard.trained","standard.trained"
"826","DG","Vcl",1.45,"3.75e-02",1.43,"standard.yoked vs. standard.trained","standard.trained"
"827","DG","Zdbf2",2.02,"1.82e-04",3.74,"standard.yoked vs. standard.trained","standard.trained"
"828","DG","Zfand5",1.22,"9.52e-04",3.02,"standard.yoked vs. standard.trained","standard.trained"
"829","DG","Zfp275",1.59,"2.16e-02",1.67,"standard.yoked vs. standard.trained","standard.trained"
"830","DG","Zfp36",1.35,"7.64e-02",1.12,"standard.yoked vs. standard.trained","standard.trained"
"831","DG","Zfp711",1.57,"9.79e-02",1.01,"standard.yoked vs. standard.trained","standard.trained"
"832","DG","Zfp949",-1.32,"8.37e-02",1.08,"standard.yoked vs. standard.trained","standard.yoked"
"833","DG","Zyx",1.14,"6.00e-02",1.22,"standard.yoked vs. standard.trained","standard.trained"
"834","DG","1190002N15Rik",1.78,"3.60e-04",3.44,"yoked vs. trained","trained"
"835","DG","2410002F23Rik",-0.51,"9.26e-02",1.03,"yoked vs. trained","yoked"
"836","DG","A830010M20Rik",1.47,"1.68e-07",6.78,"yoked vs. trained","trained"
"837","DG","Abhd2",0.68,"1.33e-02",1.88,"yoked vs. trained","trained"
"838","DG","Acan",1.96,"5.25e-10",9.28,"yoked vs. trained","trained"
"839","DG","Adamts1",1.75,"1.28e-02",1.89,"yoked vs. trained","trained"
"840","DG","Adrb1",1,"1.01e-02",2,"yoked vs. trained","trained"
"841","DG","Ahr",1.48,"9.38e-03",2.03,"yoked vs. trained","trained"
"842","DG","Amigo2",1.4,"9.37e-03",2.03,"yoked vs. trained","trained"
"843","DG","Ankrd13a",0.56,"3.96e-02",1.4,"yoked vs. trained","trained"
"844","DG","Ankrd13c",0.51,"4.97e-02",1.3,"yoked vs. trained","trained"
"845","DG","Ankrd27",-0.71,"3.05e-02",1.52,"yoked vs. trained","yoked"
"846","DG","Ankrd28",1.15,"6.05e-04",3.22,"yoked vs. trained","trained"
"847","DG","Ankrd33b",0.89,"4.15e-04",3.38,"yoked vs. trained","trained"
"848","DG","Apaf1",1.16,"5.11e-04",3.29,"yoked vs. trained","trained"
"849","DG","Arc",2.03,"1.78e-04",3.75,"yoked vs. trained","trained"
"850","DG","Arhgef3",0.68,"3.65e-02",1.44,"yoked vs. trained","trained"
"851","DG","Arid1a",0.38,"6.18e-02",1.21,"yoked vs. trained","trained"
"852","DG","Arid5b",0.99,"2.76e-03",2.56,"yoked vs. trained","trained"
"853","DG","Arih1",0.39,"7.26e-02",1.14,"yoked vs. trained","trained"
"854","DG","Arl13b",1.16,"8.33e-02",1.08,"yoked vs. trained","trained"
"855","DG","Arl4a",1.02,"5.64e-02",1.25,"yoked vs. trained","trained"
"856","DG","Arl4d",1.36,"1.33e-04",3.88,"yoked vs. trained","trained"
"857","DG","Arl5b",1.27,"2.14e-04",3.67,"yoked vs. trained","trained"
"858","DG","Armcx4",0.52,"6.11e-02",1.21,"yoked vs. trained","trained"
"859","DG","Armcx5",1.21,"2.06e-03",2.69,"yoked vs. trained","trained"
"860","DG","Arpp19",0.51,"6.28e-02",1.2,"yoked vs. trained","trained"
"861","DG","Arpp21",0.56,"1.32e-02",1.88,"yoked vs. trained","trained"
"862","DG","Aste1",1.6,"4.57e-03",2.34,"yoked vs. trained","trained"
"863","DG","Atf3",1.8,"1.71e-02",1.77,"yoked vs. trained","trained"
"864","DG","B3gnt2",0.86,"8.67e-02",1.06,"yoked vs. trained","trained"
"865","DG","Bach1",1.11,"6.21e-03",2.21,"yoked vs. trained","trained"
"866","DG","Bag3",1.08,"8.77e-02",1.06,"yoked vs. trained","trained"
"867","DG","Bdnf",1.4,"4.54e-04",3.34,"yoked vs. trained","trained"
"868","DG","Btg1",0.76,"2.16e-03",2.67,"yoked vs. trained","trained"
"869","DG","Btg2",1.66,"2.06e-03",2.69,"yoked vs. trained","trained"
"870","DG","Btg3",1.31,"2.35e-02",1.63,"yoked vs. trained","trained"
"871","DG","C2cd4b",1.12,"1.74e-03",2.76,"yoked vs. trained","trained"
"872","DG","Calu",0.48,"6.45e-02",1.19,"yoked vs. trained","trained"
"873","DG","Ccar2",-0.38,"7.97e-02",1.1,"yoked vs. trained","yoked"
"874","DG","Ccdc32",-0.62,"1.30e-02",1.88,"yoked vs. trained","yoked"
"875","DG","Ccnk",0.83,"2.59e-03",2.59,"yoked vs. trained","trained"
"876","DG","Ccno",1.89,"1.14e-03",2.94,"yoked vs. trained","trained"
"877","DG","Cdkn1a",0.96,"9.82e-02",1.01,"yoked vs. trained","trained"
"878","DG","Cecr6",-0.85,"6.05e-04",3.22,"yoked vs. trained","yoked"
"879","DG","Chrd",-0.57,"5.22e-02",1.28,"yoked vs. trained","yoked"
"880","DG","Ciart",1.04,"2.00e-03",2.7,"yoked vs. trained","trained"
"881","DG","Cited2",1.24,"1.34e-03",2.87,"yoked vs. trained","trained"
"882","DG","Cldn12",0.81,"3.52e-02",1.45,"yoked vs. trained","trained"
"883","DG","Cnnm1",0.6,"3.61e-03",2.44,"yoked vs. trained","trained"
"884","DG","Col10a1",4.54,"1.86e-02",1.73,"yoked vs. trained","trained"
"885","DG","Coq2",-0.47,"7.22e-02",1.14,"yoked vs. trained","yoked"
"886","DG","Cpeb2",0.78,"6.52e-02",1.19,"yoked vs. trained","trained"
"887","DG","Cpeb4",0.72,"4.15e-04",3.38,"yoked vs. trained","trained"
"888","DG","Ctnnd1",0.79,"3.83e-02",1.42,"yoked vs. trained","trained"
"889","DG","Cul3",0.43,"2.48e-02",1.61,"yoked vs. trained","trained"
"890","DG","Cwc25",1.12,"4.32e-03",2.36,"yoked vs. trained","trained"
"891","DG","Cxadr",1.22,"6.05e-04",3.22,"yoked vs. trained","trained"
"892","DG","Cyp51",0.87,"1.95e-02",1.71,"yoked vs. trained","trained"
"893","DG","Dbpht2",1.54,"1.45e-04",3.84,"yoked vs. trained","trained"
"894","DG","Dnaja1",0.62,"2.90e-03",2.54,"yoked vs. trained","trained"
"895","DG","Dnaja4",0.41,"7.94e-02",1.1,"yoked vs. trained","trained"
"896","DG","Dnajb1",1.46,"8.30e-03",2.08,"yoked vs. trained","trained"
"897","DG","Dnajb4",0.94,"3.78e-03",2.42,"yoked vs. trained","trained"
"898","DG","Dusp14",0.66,"5.95e-02",1.23,"yoked vs. trained","trained"
"899","DG","Dusp16",1.34,"1.60e-02",1.8,"yoked vs. trained","trained"
"900","DG","Dusp4",1.15,"1.07e-06",5.97,"yoked vs. trained","trained"
"901","DG","Dusp5",1.34,"4.81e-02",1.32,"yoked vs. trained","trained"
"902","DG","Dusp6",1.62,"5.43e-02",1.27,"yoked vs. trained","trained"
"903","DG","Dusp8",0.7,"9.01e-04",3.05,"yoked vs. trained","trained"
"904","DG","Dvl2",-0.62,"6.28e-02",1.2,"yoked vs. trained","yoked"
"905","DG","Dyrk2",1.04,"1.32e-02",1.88,"yoked vs. trained","trained"
"906","DG","Egr1",1.58,"5.45e-03",2.26,"yoked vs. trained","trained"
"907","DG","Egr3",0.77,"1.57e-02",1.8,"yoked vs. trained","trained"
"908","DG","Egr4",2.04,"1.67e-04",3.78,"yoked vs. trained","trained"
"909","DG","Eif5",0.35,"6.45e-02",1.19,"yoked vs. trained","trained"
"910","DG","Eprs",0.74,"2.16e-03",2.67,"yoked vs. trained","trained"
"911","DG","Erf",0.77,"4.88e-03",2.31,"yoked vs. trained","trained"
"912","DG","Errfi1",1.54,"3.45e-08",7.46,"yoked vs. trained","trained"
"913","DG","Fam107b",1.51,"2.10e-04",3.68,"yoked vs. trained","trained"
"914","DG","Fam118a",0.98,"3.58e-02",1.45,"yoked vs. trained","trained"
"915","DG","Fbxl2",-0.71,"8.28e-02",1.08,"yoked vs. trained","yoked"
"916","DG","Fbxo33",2.18,"4.00e-04",3.4,"yoked vs. trained","trained"
"917","DG","Fbxo34",0.51,"4.35e-02",1.36,"yoked vs. trained","trained"
"918","DG","Fbxw7",0.7,"1.78e-03",2.75,"yoked vs. trained","trained"
"919","DG","Fermt2",0.53,"4.82e-02",1.32,"yoked vs. trained","trained"
"920","DG","Flrt3",0.88,"2.98e-02",1.53,"yoked vs. trained","trained"
"921","DG","Fos",1.31,"8.33e-02",1.08,"yoked vs. trained","trained"
"922","DG","Fosb",1.84,"1.65e-02",1.78,"yoked vs. trained","trained"
"923","DG","Fosl2",1.87,"6.85e-05",4.16,"yoked vs. trained","trained"
"924","DG","Foxg1",0.43,"6.48e-02",1.19,"yoked vs. trained","trained"
"925","DG","Foxo1",0.65,"1.71e-02",1.77,"yoked vs. trained","trained"
"926","DG","Frmd6",2.4,"7.53e-05",4.12,"yoked vs. trained","trained"
"927","DG","Fzd4",1.82,"8.43e-05",4.07,"yoked vs. trained","trained"
"928","DG","Fzd5",3.17,"6.33e-11",10.2,"yoked vs. trained","trained"
"929","DG","Gad1",0.56,"2.21e-02",1.65,"yoked vs. trained","trained"
"930","DG","Gadd45a",1.62,"5.24e-02",1.28,"yoked vs. trained","trained"
"931","DG","Gadd45g",1.22,"5.37e-05",4.27,"yoked vs. trained","trained"
"932","DG","Gch1",2,"2.38e-02",1.62,"yoked vs. trained","trained"
"933","DG","Gcnt2",1.69,"8.77e-03",2.06,"yoked vs. trained","trained"
"934","DG","Gemin4",0.79,"4.57e-02",1.34,"yoked vs. trained","trained"
"935","DG","Gm13889",1.57,"5.81e-04",3.24,"yoked vs. trained","trained"
"936","DG","Gmeb2",0.98,"8.78e-02",1.06,"yoked vs. trained","trained"
"937","DG","Gpr19",1.32,"3.36e-04",3.47,"yoked vs. trained","trained"
"938","DG","Heca",0.72,"1.43e-02",1.84,"yoked vs. trained","trained"
"939","DG","Hmgcr",1.03,"3.11e-04",3.51,"yoked vs. trained","trained"
"940","DG","Hmgn2",-0.45,"5.40e-02",1.27,"yoked vs. trained","yoked"
"941","DG","Homer1",2.1,"2.14e-04",3.67,"yoked vs. trained","trained"
"942","DG","Hs6st1",0.57,"1.36e-03",2.87,"yoked vs. trained","trained"
"943","DG","Hsp90aa1",0.49,"3.70e-02",1.43,"yoked vs. trained","trained"
"944","DG","Hspa1a",1.77,"3.03e-02",1.52,"yoked vs. trained","trained"
"945","DG","Hspa1b",1.6,"4.35e-02",1.36,"yoked vs. trained","trained"
"946","DG","Hsph1",0.69,"7.82e-04",3.11,"yoked vs. trained","trained"
"947","DG","Ifrd1",1.51,"1.01e-02",2,"yoked vs. trained","trained"
"948","DG","Il16",0.64,"1.04e-02",1.98,"yoked vs. trained","trained"
"949","DG","Ing2",1.15,"3.67e-02",1.44,"yoked vs. trained","trained"
"950","DG","Ipmk",0.48,"6.28e-02",1.2,"yoked vs. trained","trained"
"951","DG","Irf2bp2",0.59,"6.59e-02",1.18,"yoked vs. trained","trained"
"952","DG","Irf9",-0.97,"6.45e-02",1.19,"yoked vs. trained","yoked"
"953","DG","Irs1",1.34,"9.30e-06",5.03,"yoked vs. trained","trained"
"954","DG","Irs2",1.34,"2.30e-07",6.64,"yoked vs. trained","trained"
"955","DG","Jag1",1.24,"6.43e-04",3.19,"yoked vs. trained","trained"
"956","DG","Jdp2",0.77,"1.14e-03",2.94,"yoked vs. trained","trained"
"957","DG","Jmjd1c",0.6,"7.32e-03",2.14,"yoked vs. trained","trained"
"958","DG","Jun",0.93,"5.12e-05",4.29,"yoked vs. trained","trained"
"959","DG","Junb",1.51,"8.37e-04",3.08,"yoked vs. trained","trained"
"960","DG","Jund",1.14,"5.46e-03",2.26,"yoked vs. trained","trained"
"961","DG","Kcna4",0.9,"2.17e-02",1.66,"yoked vs. trained","trained"
"962","DG","Kcnf1",1.63,"4.13e-03",2.38,"yoked vs. trained","trained"
"963","DG","Kcnj2",1.61,"8.81e-04",3.05,"yoked vs. trained","trained"
"964","DG","Kcnk10",1.39,"9.93e-02",1,"yoked vs. trained","trained"
