"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Arrb2",7.93747663895181,8.38014467017547,8.67755837922507,7.77214128927436,7.84814260911092,8.02036641457269,7.7729246478868,8.27669664349103,8.00177655576908,8.54169034381192,8.0000038725862,7.87948257518412,7.94432459329568,8.20266404798562
"Arrdc1",6.14748424941518,6.46519019330583,6.4378967738278,5.90418219343334,5.90418219343334,6.28473803345583,6.36460334230246,5.90418219343334,6.76123315507629,5.90418219343334,6.22612926952978,6.17878675966233,6.17687149431508,6.6043663146017
"Arrdc2",6.67485620731663,6.77362231858376,7.09957124970136,6.9004776196854,6.67062084386136,6.54753561209594,6.98730722738602,6.70969663472318,6.51459614637335,5.90418219343334,6.56983959447683,6.74010603315225,6.55354650273797,7.16724059455411
"Arrdc3",7.60615953106873,7.64116322274584,7.51637170879178,7.65845750873302,7.4474829456134,7.59575125431228,7.64596397919642,7.44601918017853,7.69834964395743,6.68772869997008,7.64914104639443,7.34002917402756,7.4703833569652,7.23485481843995
"Arrdc4",6.67485620731663,6.96139721625189,6.8185047587454,6.62397336180788,6.79211266543344,6.8234255674998,7.03124603398233,7.08935892429834,6.72572033608028,6.29954994557385,6.65237002279121,7.15462671129332,6.55354650273797,6.72950585164572
"Arrdc5",5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.08398210769514,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334
"Arsa",7.3049653317361,7.33808617056445,7.29497701259304,7.17173616397542,6.84638398888735,7.20047950169968,7.34218534012816,6.94313364860649,7.36776752028215,6.58479496152129,7.11758447960768,6.98720994528745,7.06316022534589,6.97484103889554
"Arsb",8.93721648510042,8.85987137956592,8.81929667119688,9.15124986878468,9.15087403510751,9.08481584284765,8.81923654430785,8.86353909279291,8.74416061117257,9.66595717219517,8.64495898151305,9.05019795744721,8.81133930786413,8.83661096025731
"Arsg",6.656248782138,6.49512948378526,6.60727465729643,6.93485690144832,6.9760577159909,6.45536320345442,6.84085938059306,6.7392961286247,6.76123315507629,6.29954994557385,6.73595209800567,6.77155113506349,6.60674217738525,6.9311269779904
"Arsi",6.52052076439425,6.84687135944632,6.60727465729643,6.58950174397551,6.43319087896101,6.58300378613693,7.00953610471462,6.40769592420539,6.60731699833924,5.90418219343334,6.44406923546559,6.47836205309977,6.71284067879213,5.90418219343334
