,R,G,B,hex_val,hls_val
Mapre1,0.015426626103591733,0.9720622996295493,0.3334824938908903,#04f855,#04f855
March11,0.9957802526995615,0.6414206726603658,0.3705190939588996,#fea45e,#fea45e
Mcl1,0.01576113854484376,0.9469164624684634,0.4438785890415378,#04f171,#04f171
Mea1,0.20728136183721013,0.44242876084681765,0.8824182123094785,#3571e1,#3571e1
Mest,0.25899065041497715,0.4999289201765329,0.8179022261628941,#427fd1,#427fd1
Mettl7a1,0.9981078575308573,0.6414443287652591,0.3657721588480029,#ffa45d,#ffa45d
Mfap1a,0.2753227422674971,0.23024727789605876,0.9323360294147841,#463bee,#463bee
Mfap3l,0.26177329512925396,0.25761290771526985,0.9987167188210755,#4342ff,#4342ff
Mgst3,0.2026711422827819,0.0038310656837487614,0.029475803845220708,#340108,#c8041d
Minpp1,0.2937887311540147,0.2572197138142557,0.9573933175986978,#4b42f4,#4b42f4
Mis12,0.9588283213594723,0.6095442168639159,0.35499840660583254,#f59b5b,#f59b5b
Mkks,0.46355534316199976,0.3514477501747288,0.13192557749085806,#765a22,#9f782d
Mmp12,0.0011653572222715936,0.9986854031857095,0.3006139790303201,#00ff4d,#00ff4d
Mn1,0.2723308330386451,0.22758262907077761,0.9730744976994523,#453af8,#453af8
Mobp,0.01739639250118277,0.9459418294668687,0.44490692830019946,#04f171,#04f171
Mrpl42,0.21239908125521623,0.4440981619666548,0.8833255746471957,#3671e1,#3671e1
Mrps16,0.7686324474611461,0.647555145765018,0.3905725600868955,#c4a564,#c4a564
Mrps23,0.2013873217326388,0.024399691712594148,0.006780657878710543,#330602,#c51807
Mrps26,0.01739639250118277,0.9459418294668687,0.44490692830019946,#04f171,#04f171
Msmo1,0.009067195630117349,0.8517196577068468,0.2045943110514609,#02d934,#02d934
Mtch2,0.9559930565564325,0.6074100178706345,0.3556998847762467,#f49b5b,#f49b5b
Mtrf1,0.9994229613204244,0.6415797406127091,0.3670252868459897,#ffa45e,#ffa45e
Myd88,0.9559930565564327,0.6074100178706345,0.3556998847762467,#f49b5b,#f49b5b
Myeov2,1.0,0.6424980386794737,0.36683643454750386,#ffa45e,#ffa45e
Myl12b,0.9999178882438757,0.6421833994779755,0.36788313936976735,#ffa45e,#ffa45e
Myom1,0.01018278933527793,0.9965277653010728,0.30959494117336844,#03fe4f,#03fe4f
Naa30,0.28733167029184276,0.281723379537447,0.9105289267158307,#4948e8,#4948e8
Nab2,0.999591905702302,0.6419969427920978,0.36793968942293653,#ffa45e,#ffa45e
Naf1,0.2120892277795491,0.06405576929478307,0.2818299573891495,#361048,#7d26a6
Nap1l5,0.2047880732652754,0.4366380421005737,0.8159406272741665,#346fd0,#346fd0
Ndnl2,0.21271143733468503,0.023045895822407184,0.021975190804790046,#360606,#b91413
