,gene,PCOR,P_pv,SCOR,S_pv,XI_ori,XI_new,XI_pv,SIGMA_ori,SIGMA,Z_pv,PCOR2,SCOR2
10466,Pfn1,-0.44535984626773645,0.11051718252898499,-0.2967032967032967,0.30296672383870205,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9706357711653061,1.0430881216813688,1.8205077675374095e-07,0.44535984626773645,0.2967032967032967
10467,Pfn2,-0.29778226688816345,0.3011274959192878,-0.2835164835164835,0.32596594744177265,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9666863764513373,1.039414055967935,1.9133365050403975e-07,0.29778226688816345,0.2835164835164835
10468,Pfn4,0.031017989801415468,0.9161678196994735,0.02857142857142857,0.9227613765698746,0.9483516483516483,0.9999999943185041,1.0085743906707023e-08,0.9487819430521961,1.0004080743214843,1.4532459957385917e-07,0.031017989801415468,0.02857142857142857
10469,Pgam1,-0.21939057460261302,0.4510865827289021,-0.13406593406593406,0.6477195279851131,0.9010989010989011,0.9999999891205399,4.884397408755348e-08,0.9110175103907819,1.00894680380982,5.999224724098782e-07,0.21939057460261302,0.13406593406593406
10470,Pgam2,-0.40668204356308135,0.14900474955044685,-0.39780219780219783,0.1589507745108348,0.9373626373626374,0.9999999931096752,1.4654749191933547e-08,1.0182805617803465,1.076218646370527,7.506170567033474e-08,0.40668204356308135,0.39780219780219783
10471,Pgam5,-0.44066871094410653,0.11477659214065027,-0.4197802197802198,0.13510107382914271,0.9373626373626374,0.9999999931096752,1.4654749191933547e-08,1.0270657947970854,1.084534655572647,6.678730578427572e-08,0.44066871094410653,0.4197802197802198
10472,Pgap1,-0.29790488041658514,0.30091889664704846,-0.07692307692307693,0.7938058883554533,0.9296703296703297,0.999999992263495,1.8989148697912128e-08,0.9328472981322576,1.002954208471306,2.597665039462874e-07,0.29790488041658514,0.07692307692307693
10473,Pgap2,0.0028396119298128714,0.992313185071566,-0.01978021978021978,0.9464892274080114,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9243874788667454,1.000195601076467,3.218082820897203e-07,0.0028396119298128714,0.01978021978021978
10474,Pgap3,0.05655759892068763,0.8477099207492879,0.18681318681318684,0.5225040123791591,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9428680293436419,1.017299931232407,2.5714871062598443e-07,0.05655759892068763,0.18681318681318684
10475,Pgbd1,-0.4145418185707191,0.14055281324120583,-0.15181527338479245,0.6043884106699472,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9387310439489697,1.0114582843768656,2.586596128469423e-07,0.4145418185707191,0.15181527338479245
10476,Pgbd5,0.16522485084061586,0.572427547958543,0.06373626373626373,0.828626422928612,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9285636256906049,1.0020290889573773,2.9263296356898517e-07,0.16522485084061586,0.06373626373626373
10477,Pgd,0.4995396812433204,0.06895117271887559,0.5032967032967033,0.06656042759911303,0.9296703296703297,0.999999992263495,1.8989148697912128e-08,1.0571634185019216,1.1195121955907046,5.202609861741866e-08,0.4995396812433204,0.5032967032967033
10478,Pgf,-0.2938815718736821,0.307807236624025,-0.18697982900300708,0.5221263779162002,0.9274725274725275,0.9999999920217293,2.0440686698819377e-08,0.9461325201420105,1.0173305463306666,2.3100140868590485e-07,0.2938815718736821,0.18697982900300708
10479,Pggt1b,0.3415006855502246,0.23208888254931567,0.2703296703296703,0.3499193863496043,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,0.9671209999890045,1.0358948377831472,1.7398555410225372e-07,0.3415006855502246,0.2703296703296703
10480,Pgk1,-0.1973565728647521,0.4988544302789456,-0.1956043956043956,0.5027500912969567,0.9252747252747253,0.9999999917799635,2.1999565391617182e-08,0.945724271028284,1.018950962087817,2.427994437285498e-07,0.1973565728647521,0.1956043956043956
10481,Pgk1-rs7,-0.22706726701211843,0.4349925516831006,-0.2307974060004901,0.42727785042588706,0.9395604395604396,0.999999993351441,1.3604016246837602e-08,0.9674922543377603,1.0262881804441855,1.3817011137855232e-07,0.22706726701211843,0.2307974060004901
10482,Pgls,-0.12470874525403303,0.670998522079142,-0.3230769230769231,0.25987361950878973,0.9461538461538461,0.9999999940767383,1.0871885836039041e-08,0.999792877958514,1.050894231775172,7.973271976548685e-08,0.12470874525403303,0.3230769230769231
10483,Pglyrp1,0.060248149744574625,0.8378887620685161,0.09665362096357655,0.7423840321121843,0.9395604395604396,0.999999993351441,1.3604016246837602e-08,0.944518788607393,1.004660096325246,1.8382817655958655e-07,0.060248149744574625,0.09665362096357655
10484,Pglyrp2,-0.3957681211421954,0.16128890731142215,-0.41293962759267533,0.14224912392521422,0.9340659340659341,0.9999999927470266,1.6379905098951042e-08,1.0212728847956571,1.0819053200398039,7.720822493903913e-08,0.3957681211421954,0.41293962759267533
10485,Pgm1,0.42596155149613113,0.12885260005935417,0.39780219780219783,0.1589507745108348,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,1.010193786624845,1.076218645471952,1.000207132375874e-07,0.42596155149613113,0.39780219780219783
10486,Pgm2,-0.3143273742402627,0.273737861198429,-0.4153846153846154,0.1396659475175257,0.9384615384615385,0.9999999932305581,1.4119902358444847e-08,1.0262818510866412,1.0828408771187672,6.597667958097101e-08,0.3143273742402627,0.4153846153846154
10487,Pgm2l1,0.2977145251366314,0.3012427790849643,0.1076923076923077,0.7140308087262492,0.9274725274725275,0.9999999920217293,2.0440686698819377e-08,0.9337038729449358,1.0057820922941278,2.688863125322366e-07,0.2977145251366314,0.1076923076923077
10488,Pgm3,-0.13961838576736835,0.6340445953747804,0.006593406593406593,0.9821527354577905,0.9208791208791209,0.9999999912964318,2.5470488052015128e-08,0.9209027246575007,1.0000217275656413,3.5876301499010305e-07,0.13961838576736835,0.006593406593406593
10489,Pgm5,-0.08335911646921002,0.7769359555948888,-0.06600664060208367,0.8226086912967431,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9287222255573493,1.0021760625784601,2.9207320278308155e-07,0.08335911646921002,0.06600664060208367
10490,Pgp,-0.5505188558640857,0.041349532999786706,-0.5604395604395604,0.037104477004074335,0.9142857142857143,0.9999999905711344,3.1691074209305725e-08,1.072385596813304,1.1463387291930587,5.757527099356912e-08,0.5505188558640857,0.5604395604395604
10491,Pgpep1,-0.16315413877994617,0.5773171089647379,-0.2043956043956044,0.4833462230422234,0.9318681318681319,0.9999999925052608,1.763778845198516e-08,0.954020847931347,1.0206750453042173,1.915392811283263e-07,0.16315413877994617,0.2043956043956044
10492,Pgpep1l,0.2592156528211841,0.37083763836082523,0.2379046856532723,0.41277232672841424,0.9384615384615385,0.9999999932305581,1.4119902358444847e-08,0.9681470439077836,1.0279098335539447,1.4018299061922086e-07,0.2592156528211841,0.2379046856532723
10493,Pgr,-0.05047212488062932,0.8639487025010516,-0.15604395604395604,0.594234700580851,0.9362637362637363,0.9999999929887924,1.5209230319612743e-08,0.9491783289036783,1.012101626416751,1.8580011852304098e-07,0.05047212488062932,0.15604395604395604
10494,Pgr15l,-0.01958948030476476,0.9470045655087812,0.16242292018645227,0.5790478016654936,0.910989010989011,0.9999999902084858,3.5330199876781876e-08,0.9253551659469087,1.0131047257904122,4.1510059437265865e-07,0.01958948030476476,0.16242292018645227
10495,Pgrmc1,0.02206154539377579,0.9403271240060865,0.0857142857142857,0.7707850311186757,0.9483516483516483,0.9999999943185041,1.0085743906707023e-08,0.9522173006760581,1.003666741210706,1.392848168241595e-07,0.02206154539377579,0.0857142857142857
10496,Pgrmc2,-0.2330851406339819,0.4225808506672393,-0.3318681318681319,0.24637718314961166,0.9351648351648352,0.9999999928679094,1.5784042184385783e-08,0.9923052584152303,1.0536301261284542,1.1028265495269357e-07,0.2330851406339819,0.3318681318681319
10497,Pgs1,0.027786263683491588,0.9248784167048317,-0.015384615384615385,0.9583697893719862,0.9197802197802197,0.9999999911755489,2.641791063684451e-08,0.919908875427062,1.000118327370132,3.71223183004414e-07,0.027786263683491588,0.015384615384615385
10498,Phactr1,0.2595910258615843,0.37012035742892785,0.16043956043956045,0.5837527526413409,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9401643197838677,1.012788643476877,2.5417134383915237e-07,0.2595910258615843,0.16043956043956045
10499,Phactr2,0.4654470958596226,0.09350320715620414,0.4813186813186813,0.08141829504280494,0.9395604395604396,0.999999993351441,1.3604016246837602e-08,1.0556711100401301,1.1098052350251535,4.333168487693991e-08,0.4654470958596226,0.4813186813186813
10500,Phactr3,0.14787556766102072,0.6139085104388173,0.059340659340659345,0.8403017626906826,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9260789749487072,1.0017591013657652,3.1532712816655184e-07,0.14787556766102072,0.059340659340659345
10501,Phactr4,-0.11156159683805247,0.7041710340654191,-0.054945054945054944,0.8520077036323677,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,0.9301956014850311,1.0015083341381337,2.7433689330953836e-07,0.11156159683805247,0.054945054945054944
10502,Phax,-0.507975329696044,0.06366671744632119,-0.5208791208791209,0.05615392734370261,0.9439560439560439,0.9999999938349725,1.1717376846576144e-08,1.0781317505244665,1.1275260734181498,2.8970852262262544e-08,0.507975329696044,0.5208791208791209
10503,Phb,-0.5137963367981895,0.0601936277506111,-0.3934065934065934,0.16403157340077784,0.9197802197802197,0.9999999911755489,2.641791063684451e-08,1.000382127206764,1.0746016611223337,1.359578694696956e-07,0.5137963367981895,0.3934065934065934
10504,Phb2,-0.002005062524339178,0.9945722694567674,0.07692307692307693,0.7938058883554533,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9273716157799836,1.0029542078686717,3.10454577876786e-07,0.002005062524339178,0.07692307692307693
10505,Phc1,0.16315545964646264,0.5773139845733339,0.3406593406593406,0.23331605103682404,0.9175824175824175,0.9999999909337831,2.841628898853088e-08,0.9787779520579991,1.056432093532766,1.8767140672261003e-07,0.16315545964646264,0.3406593406593406
10506,Phc2,0.062451478578755534,0.8320356973603361,0.015384615384615385,0.9583697893719862,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,0.9286988663445844,1.000118328337081,2.7934334741960723e-07,0.062451478578755534,0.015384615384615385
10507,Phc3,0.14997393989439825,0.6088307423593249,0.23076923076923075,0.4273358616774501,0.921978021978022,0.9999999914173149,2.4556034317058106e-08,0.9504198603145498,1.0262818427237483,2.450227866877695e-07,0.14997393989439825,0.23076923076923075
10508,Phex,-0.23205142339757762,0.4246999366468817,0.03300332030104183,0.9108209553502696,0.9318681318681319,0.9999999925052608,1.763778845198516e-08,0.9324523764473417,1.0005444538657013,2.4952700520179207e-07,0.23205142339757762,0.03300332030104183
10509,Phf1,-0.3397425986169885,0.23465772944337193,-0.2175824175824176,0.4549193731700327,0.9340659340659341,0.9999999927470266,1.6379905098951042e-08,0.9590731346583927,1.023397329454725,1.7194190727916888e-07,0.3397425986169885,0.2175824175824176
10510,Phf10,0.3302205423928605,0.24887345312254847,0.2527472527472528,0.3833149644785111,0.9153846153846154,0.9999999906920174,3.056081454566595e-08,0.9496368610443278,1.0314461474819316,2.82670189806261e-07,0.3302205423928605,0.2527472527472528
10511,Phf11a,0.11111638957824763,0.7053033532325176,-0.1694918450316099,0.5624062415622704,0.921978021978022,0.9999999914173149,2.4556034317058106e-08,0.9374278417791555,1.014262031413406,2.8737167227992733e-07,0.11111638957824763,0.1694918450316099
10512,Phf11c,-0.0801143689220487,0.7854300348683412,-0.012169629351714027,0.9670645631627812,0.9252747252747253,0.9999999917799635,2.1999565391617182e-08,0.9253547520333899,1.0000740389783573,3.1105512154602514e-07,0.0801143689220487,0.012169629351714027
10513,Phf11d,-0.2015825279670606,0.4895164852235435,-0.3684745577150126,0.1948517226538582,0.9351648351648352,0.9999999928679094,1.5784042184385783e-08,1.0051401736136842,1.0657267405010973,9.335466880809288e-08,0.2015825279670606,0.3684745577150126
10514,Phf12,0.07553849189012043,0.7974463549337268,0.1164835164835165,0.6916912502331573,0.9087912087912088,0.99999998996672,3.797779246639266e-08,0.9162258841511476,1.0067613369343331,4.838599976809245e-07,0.07553849189012043,0.1164835164835165
10515,Phf13,0.41455483399043863,0.14053908876898327,0.3802197802197802,0.17990614630608154,0.9296703296703297,0.999999992263495,1.8989148697912128e-08,1.004417245540775,1.0698444119578174,1.0548393600588528e-07,0.41455483399043863,0.3802197802197802
10516,Phf14,0.19448958024996862,0.5052359337935826,0.27912087912087913,0.33384507719455425,0.9263736263736264,0.9999999919008464,2.1206241984650376e-08,0.9675104964814778,1.0382236989025562,1.8107641775149973e-07,0.19448958024996862,0.27912087912087913
10517,Phf19,0.1948997358715532,0.5043207055268096,-0.02472534489765912,0.9331358662867462,0.9318681318681319,0.9999999925052608,1.763778845198516e-08,0.932196094108804,1.0003056171444955,2.503032902744835e-07,0.1948997358715532,0.02472534489765912
10518,Phf2,0.2750936945269797,0.3411564662113368,0.3274725274725274,0.2530710007719406,0.9252747252747253,0.9999999917799635,2.1999565391617182e-08,0.9815149379818239,1.0522538856232238,1.5507116177118165e-07,0.2750936945269797,0.3274725274725274
10519,Phf20,0.22892767680552184,0.4311361479755406,0.16043956043956045,0.5837527526413409,0.9142857142857143,0.9999999905711344,3.1691074209305725e-08,0.9282560098921946,1.0127886421639554,3.7516985375669724e-07,0.22892767680552184,0.16043956043956045
10520,Phf20l1,-0.18874953866812527,0.5181235058343634,-0.054945054945054944,0.8520077036323677,0.9175824175824175,0.9999999909337831,2.841628898853088e-08,0.9192260070947238,1.0015083329311252,3.912655457262259e-07,0.18874953866812527,0.054945054945054944
10521,Phf21a,-0.008668884534936583,0.9765359976133999,-0.032967032967032975,0.910918653071845,0.9098901098901099,0.999999990087603,3.663083492089214e-08,0.9104871428737946,1.0005432551558455,5.06716290124783e-07,0.008668884534936583,0.032967032967032975
10522,Phf21b,0.13445399126436128,0.6467603713953192,0.221978021978022,0.44562965795360865,0.9153846153846154,0.9999999906920174,3.056081454566595e-08,0.9419146650966399,1.0243408727690748,3.108236986062432e-07,0.13445399126436128,0.221978021978022
10523,Phf23,0.6043472784778654,0.02207034008706778,0.5824175824175825,0.028854655357671764,0.9208791208791209,0.9999999912964318,2.5470488052015128e-08,1.0896001998807838,1.1572425082505418,3.95702691677431e-08,0.6043472784778654,0.5824175824175825
10524,Phf24,0.16946079935759512,0.56247888754799,0.4241758241758242,0.13063731043811047,0.932967032967033,0.9999999926261437,1.6997563689891138e-08,1.0248671203714892,1.0862435799890957,7.528429238564101e-08,0.16946079935759512,0.4241758241758242
10525,Phf3,0.005268167199141277,0.9857395664005181,0.13406593406593406,0.6477195279851131,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,0.9381996443381094,1.008946806805094,2.4892489818626976e-07,0.005268167199141277,0.13406593406593406
10526,Phf5a,0.0005365691613878898,0.9985474912093145,-0.03736263736263736,0.899093096973967,0.910989010989011,0.9999999902084858,3.5330199876781876e-08,0.9117548710116269,1.0006977301301645,4.882975414261465e-07,0.0005365691613878898,0.03736263736263736
10527,Phf6,0.3844737409736875,0.17468102016325496,0.37142857142857144,0.1910208120436164,0.9175824175824175,0.9999999909337831,2.841628898853088e-08,0.9899074081599064,1.0667516887922117,1.6275972191639216e-07,0.3844737409736875,0.37142857142857144
10528,Phf7,-0.15247312821566905,0.6028043659484613,-0.1760177082722231,0.5472241137825169,0.9098901098901099,0.999999990087603,3.663083492089214e-08,0.926759000874144,1.0153729432088545,4.1722727906636203e-07,0.15247312821566905,0.1760177082722231
10529,Phf8,0.32151906281571474,0.2623106574229919,0.3230769230769231,0.25987361950878973,0.9373626373626374,0.9999999931096752,1.4654749191933547e-08,0.9914773886217937,1.0508942308549432,1.0653268130878763e-07,0.32151906281571474,0.3230769230769231
10530,Phgdh,0.41634088960035287,0.13866420493953577,0.4769230769230769,0.0846484341946868,0.9340659340659341,0.9999999927470266,1.6379905098951042e-08,1.0487777602925423,1.1079059557542907,5.332572380829682e-08,0.41634088960035287,0.4769230769230769
10531,Phip,0.2689015636899937,0.352570158696853,0.39780219780219783,0.1589507745108348,0.932967032967033,0.9999999926261437,1.6997563689891138e-08,1.0142357088860399,1.0762186459212395,8.667643353589763e-08,0.2689015636899937,0.39780219780219783
10532,Phka1,-0.11988006329894545,0.6831211403830286,-0.13406593406593406,0.6477195279851131,0.9186813186813186,0.999999991054666,2.7399449153975297e-08,0.9284121067559481,1.0089468057267952,3.427043283350928e-07,0.11988006329894545,0.13406593406593406
10533,Phka2,-0.1018988099791083,0.7288713333132989,0.24395604395604395,0.400624803916119,0.9285714285714286,0.9999999921426121,1.9701958953177723e-08,0.960083042940488,1.0293272247773824,1.9002117981782526e-07,0.1018988099791083,0.24395604395604395
10534,Phkb,0.25334298569160607,0.38215658661742813,0.21318681318681318,0.4643028200397442,0.9197802197802197,0.9999999911755489,2.641791063684451e-08,0.9441632644917395,1.022471808739902,2.766977906597767e-07,0.25334298569160607,0.21318681318681318
10535,Phkg1,-0.43585034732640143,0.11926675817276904,-0.45054945054945056,0.10593278527264058,0.9351648351648352,0.9999999928679094,1.5784042184385783e-08,1.0380404984003684,1.0968111930164783,6.030815787067655e-08,0.43585034732640143,0.45054945054945056
10536,Phkg2,-0.22417358152231381,0.4410249926710367,-0.09010989010989012,0.7593388378159541,0.9076923076923077,0.9999999898458372,3.93726631298108e-08,0.9121541085471266,1.0040516779465543,5.191246313215615e-07,0.22417358152231381,0.09010989010989012
10537,Phlda1,0.683751473323461,0.0070094708239138,0.6439560439560439,0.012942152559322944,0.9461538461538461,0.9999999940767383,1.0871885836039041e-08,1.1445027248282262,1.189402948836514,1.0609242594059709e-08,0.683751473323461,0.6439560439560439
10538,Phlda3,-0.052644217737513974,0.8581465274477784,-0.0857142857142857,0.7707850311186757,0.9274725274725275,0.9999999920217293,2.0440686698819377e-08,0.9314248375428843,1.0036667389223222,2.7641909484894627e-07,0.052644217737513974,0.0857142857142857
10539,Phldb1,0.06131839982546258,0.8350446890407113,-0.12087912087912088,0.6806070200628929,0.9021978021978022,0.9999999892414227,4.712516021854185e-08,0.9102596531512609,1.007279375519699,5.922767950051257e-07,0.06131839982546258,0.12087912087912088
10540,Phldb2,0.11493945300921912,0.6955986466160223,0.05280531248166693,0.8577164667530618,0.9241758241758242,0.9999999916590806,2.2821629475089367e-08,0.9256831828532646,1.0013932216389563,3.168329094649722e-07,0.11493945300921912,0.05280531248166693
10541,Phldb3,-0.40807230023825547,0.14748583654163108,-0.37504578475079636,0.18639580816030613,0.9274725274725275,0.9999999920217293,2.0440686698819377e-08,1.000432221530084,1.0680165376541693,1.1620868243488002e-07,0.40807230023825547,0.37504578475079636
10542,Phlpp1,0.1254673707567462,0.6691006151461212,0.221978021978022,0.44562965795360865,0.9296703296703297,0.999999992263495,1.8989148697912128e-08,0.9558039360196289,1.0243408743032103,1.9597010648497738e-07,0.1254673707567462,0.221978021978022
10543,Phlpp2,0.16687750305597782,0.5685374601440456,-0.17362637362637365,0.5527669411422413,0.9373626373626374,0.9999999931096752,1.4654749191933547e-08,0.9533073122252259,1.0149611341514488,1.725977217150075e-07,0.16687750305597782,0.17362637362637365
10544,Phospho1,0.03183380042644027,0.9139702789876168,0.01098901098901099,0.970258390096969,0.9351648351648352,0.9999999928679094,1.5784042184385783e-08,0.9352293982181002,1.0000603702268855,2.2546133962380786e-07,0.03183380042644027,0.01098901098901099
10545,Phospho2,0.43443490869353346,0.12060814498045216,0.45494505494505494,0.10215352669182914,0.9307692307692308,0.999999992384378,1.8301375637186368e-08,1.0360050019018752,1.0986241339911094,6.783847424613548e-08,0.43443490869353346,0.45494505494505494
10546,Phox2a,0.5179432544945112,0.05780390709772373,0.6022369812825288,0.022664986508410118,0.9208791208791209,0.9999999912964318,2.5470488052015128e-08,1.1003216515616674,1.1673428648932398,3.3969519564726674e-08,0.5179432544945112,0.6022369812825288
10547,Phpt1,-0.35931085459174233,0.20704501712878562,-0.3274725274725274,0.2530710007719406,0.9428571428571428,0.9999999937140897,1.2163718698943171e-08,0.9981071325694351,1.052253887461303,8.72758955501582e-08,0.35931085459174233,0.3274725274725274
10548,Phrf1,-0.17655834708753304,0.5459742987989297,-0.002197802197802198,0.9940505286658998,0.9230769230769231,0.9999999915381977,2.3673439430993426e-08,0.9230795395044029,1.0000024067025521,3.342843025751958e-07,0.17655834708753304,0.002197802197802198
10549,Phtf1,-0.3806878526018914,0.1793263383883139,-0.5604395604395604,0.037104477004074335,0.9582417582417583,0.9999999954064502,7.1802144230304066e-09,1.1100989902454392,1.1463387334111101,1.3635646151949815e-08,0.3806878526018914,0.5604395604395604
10550,Phtf2,0.2722843423555699,0.34630909653256053,0.2571428571428571,0.3748119038799703,0.9274725274725275,0.9999999920217293,2.0440686698819377e-08,0.9624592137830413,1.0325320493926813,1.8864696481265957e-07,0.2722843423555699,0.2571428571428571
10551,Phxr2,-0.3007318089148599,0.2961327131751674,-0.10461137232347777,0.721911544400238,0.9252747252747253,0.9999999917799635,2.1999565391617182e-08,0.9311696174444373,1.0054568726600501,2.899764696226985e-07,0.3007318089148599,0.10461137232347777
