,hls_val,gene,candy,top
Gm14685,#ff666c,Gm14685,X,X
Gm20425,#67fe79,Gm20425,X,X
Gm21830,#b366ff,Gm21830,X,X
Gm28036,#66ff66,Gm28036,X,X
Gm3854,#6b66ff,Gm3854,X,B
Gm43786,#fb6a80,Gm43786,X,X
Gm45140,#7366ff,Gm45140,X,X
Gm4847,#68fd7b,Gm4847,X,X
Gm7276,#66ff79,Gm7276,X,X
Gm7694,#ff666b,Gm7694,X,X
Gm973,#6667ff,Gm973,X,X
Gm9925,#66ff71,Gm9925,X,X
Gmeb2,#ff666c,Gmeb2,X,X
Gmppb,#7a6bfa,Gmppb,X,X
Gnb1l,#7966ff,Gnb1l,X,X
Gphn,#ff666b,Gphn,X,X
Gpr157,#6f6bfa,Gpr157,X,B
Gpr19,#ff666c,Gpr19,X,X
Gpr22,#ff666b,Gpr22,X,X
Gprc5b,#e6827f,Gprc5b,X,X
Grasp,#ab66ff,Grasp,X,X
Grb2,#66ff66,Grb2,X,X
Gria1,#66fff8,Gria1,O,X
Gria2,#ff666b,Gria2,O,X
Grin1,#668fff,Grin1,O,X
Gstm2,#aee481,Gstm2,X,X
Gstm5,#66ff66,Gstm5,X,X
Gstp1,#66ff66,Gstp1,X,X
Gyg,#66ffeb,Gyg,X,X
H2-DMb1,#67fe79,H2-DMb1,X,X
H2-Q10,#6770fe,H2-Q10,X,X
Haghl,#66ff66,Haghl,X,X
Harbi1,#6766ff,Harbi1,X,X
Has2,#6a66ff,Has2,X,B
Hexa,#68fe67,Hexa,X,X
Hilpda,#fe67d0,Hilpda,X,X
Hipk3,#66ff66,Hipk3,X,X
Hist1h1d,#66ff66,Hist1h1d,X,X
Hist1h3i,#66ffeb,Hist1h3i,X,X
Hmgcr,#ff666b,Hmgcr,X,X
Hmha1,#7966ff,Hmha1,X,X
Hnrnpf,#fe676a,Hnrnpf,X,X
Hnrnpul1,#6ef7d0,Hnrnpul1,X,X
Homer1,#ff666b,Homer1,X,X
Hpn,#ff666b,Hpn,X,X
Hpx,#67fe79,Hpx,X,X
Hras,#6bcdfa,Hras,X,X
Hrh2,#8f66ff,Hrh2,X,X
