,gene,PC1 PCor,p-value,IEG
115,Tra2b,0.7043411413299211,0.004920180494772266,
116,Dusp16,0.7033962168315866,0.005003836070190863,
117,Hsph1,0.7028270532362902,0.005054758913352609,
118,Rora,0.7006706668343943,0.005251374963575597,
119,Dnajb1,0.7005153618510703,0.005265762628554454,
120,Jund,0.7000253458216624,0.005311360287362897,
121,Jag1,0.6982296977283002,0.005481092500852946,
122,Mfap3l,0.6965008496193851,0.005648481686185415,
123,Zfp869,0.6951428103957112,0.005782743068925553,
124,Trp53inp2,0.6931363956766057,0.0059856445607189114,
125,Nr4a1,0.6907452590097171,0.006234648859884511,
126,Zfp275,0.6887869193887065,0.006444527797579479,
127,Klf2,0.6869662344494956,0.0066445463821626005,
128,Rfx2,0.6854836979903438,0.00681095382742596,
129,Hspa1b,0.6852802582349503,0.0068340393063911495,
130,Lrrtm2,0.6845883151127332,0.006913013502995991,
131,Phlda1,0.683751473323461,0.0070094708239138,
132,Otud1,0.6810918959179882,0.0073229788776475995,
133,Ifrd1,0.6810801433534609,0.007324387982746021,
134,Zfp654,0.6802489841159677,0.007424576896658742,
135,Amigo2,0.6800602402160459,0.007447475709608039,
136,C2cd4b,0.6787242760966858,0.007611128094108401,
137,Prpf38b,0.6732428613681549,0.008311981628353726,
138,Arih1,0.670574785756549,0.008670688931352914,
139,Siah2,0.6697494423395808,0.008784039845640527,
140,Calu,0.6682806394063666,0.008988591605442653,
141,Arl4a,0.6678362766751386,0.009051194673407233,
142,Gch1,0.6671875760107748,0.009143189511703708,
143,Maml2,0.6667229853071128,0.009209517476445269,
144,Ppp1r15b,0.6645504221691315,0.009524631916096928,
145,Samd8,0.6630272501421909,0.009750470365369447,
146,Dusp6,0.662224441481108,0.009871151141191232,
147,Ankrd13c,0.661637670746077,0.009960082247998025,
148,Fam107b,0.6605424584311718,0.01012772354159444,
149,Fermt2,0.6599009542156515,0.010226921346402502,
150,Zfp655,0.6596888348713177,0.010259886103172971,
151,Fbxo34,0.6595861151700497,0.010275878806547394,
152,Kitl,0.653173267000219,0.01131293891115015,
153,Kcnf1,0.6530960334734905,0.011325900101234713,
154,Mn1,0.6527227730969201,0.011388700856735757,
155,Fos,0.6514675014296036,0.011601863548325313,IEG
156,Foxg1,0.651426915587271,0.01160880634006806,
157,Egr3,0.6506732280389768,0.011738316031859954,
158,Ciart,0.6499621648956105,0.011861515338594756,
159,Plk3,0.648832083731799,0.012059352727742167,
160,Dyrk2,0.6484447941844562,0.012127732494880845,
161,Cyp51,0.6469670796491845,0.012391373054237136,
162,Kdm6b,0.646336327345124,0.012505234436303825,
163,Hs6st1,0.6462140254837291,0.012527404462173009,
164,Sertad1,0.6425717872175764,0.013201561215144224,
