,R,G,B,hex_val,gene,candy
Sos1,0.6958643859649122,0.40022426900584795,0.7022913450292398,#b166b3,Sos1,X
Sowahc,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Sowahc,X
Spata2l,0.8035393573515093,0.39992000000000005,0.5961806426484908,#cd6698,Spata2l,X
Spcs3,0.6897560975609757,0.4011707317073171,0.7090731707317073,#b066b5,Spcs3,X
Specc1l,0.858028085106383,0.36168,0.40785191489361705,#db5c68,Specc1l,X
Spin2c,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Spin2c,X
Sptlc2,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Sptlc2,X
Spty2d1,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Spty2d1,X
Srek1ip1,0.7332599999999999,0.4005447368421053,0.6660152631578948,#bb66aa,Srek1ip1,X
Srf,0.9795728944820911,0.4011215488867377,0.4191255566311714,#fa666b,Srf,X
Srgap1,0.39872,0.40923433298862466,0.9862856670113754,#6668fc,Srgap1,X
Ssna1,0.4054162487462387,0.9885656970912738,0.4060180541624875,#67fc68,Ssna1,X
Ssxb2,0.40517299899699094,0.9266252357071213,0.46712176529588767,#67ec77,Ssxb2,X
Stard3nl,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Stard3nl,X
Stmn4,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Stmn4,X
Stx2,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Stx2,X
Sumf2,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Sumf2,X
Suv39h1,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Suv39h1,X
Syt4,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Syt4,X
Syt5,0.36004,0.6363497674418606,0.6237902325581396,#5ca29f,Syt5,X
Tada2b,0.735672514619883,0.40058479532163743,0.6637426900584795,#bc66a9,Tada2b,X
Tax1bp1,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Tax1bp1,X
Tbc1d17,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Tbc1d17,X
Tbcel,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Tbcel,X
Tceb2,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Tceb2,X
Tcta,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tcta,X
Tdrp,0.9800383057448881,0.39996000000000004,0.419821694255112,#fa666b,Tdrp,X
Tes,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Tes,X
Tgfb3,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Tgfb3,X
Tgs1,0.38904000000000005,0.89712624,0.46451376000000005,#63e576,Tgs1,X
Thap4,0.398,0.3992555205047319,0.9937444794952681,#6566fd,Thap4,X
Thoc7,0.37456,0.3861742635658915,0.9247857364341086,#6062ec,Thoc7,X
Tiparp,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Tiparp,X
Tlr13,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tlr13,X
Tmed2,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tmed2,X
Tmem119,0.40042079510703366,0.41629113149847097,0.9796880733944954,#666afa,Tmem119,X
Tmem151b,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tmem151b,X
Tmem167,0.4580907692307692,0.36092,0.8051292307692307,#755ccd,Tmem167,X
Tmem201,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Tmem201,X
Tmem253,0.40517299899699094,0.9218136810431293,0.47193331995987964,#67eb78,Tmem253,X
Tmem39a,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Tmem39a,X
Tmem47,0.9790325217391305,0.39996000000000004,0.4208274782608696,#fa666b,Tmem47,X
Tmem50a,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Tmem50a,X
Tmem8b,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Tmem8b,X
Tmprss9,0.39860000000000007,0.9958948380566802,0.3992051619433199,#66fe66,Tmprss9,X
Tmx4,0.37984,0.38972023121387284,0.9397197687861272,#6163f0,Tmx4,X
Tnfrsf23,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Tnfrsf23,X
Tnip2,0.8214730994152047,0.40050467836257314,0.5776622222222222,#d16693,Tnip2,X
Toe1,0.4090270812437312,0.9879638916750251,0.40300902708124375,#68fc67,Toe1,X
Tox4,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Tox4,X
Tra2b,0.9806224732229796,0.39996000000000004,0.4192375267770205,#fa666b,Tra2b,X
Traip,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Traip,X
Trappc6b,0.7978355121951219,0.4007695609756098,0.5995949268292683,#cb6699,Trappc6b,X
Trhr,0.39996000000000004,0.6009429087261785,0.7989170912738214,#6699cc,Trhr,X
Trib1,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Trib1,X
Trim11,0.6126582278481012,0.4,0.7873417721518987,#9c66c9,Trim11,X
Trp53inp2,0.9782224804687499,0.40757642578125003,0.41402109375,#f9686a,Trp53inp2,X
Tsen54,0.9806224732229796,0.39996000000000004,0.4192375267770205,#fa666b,Tsen54,X
Tspan33,0.4096192384769539,0.9867735470941884,0.4036072144288577,#68fc67,Tspan33,X
Tuba1b,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tuba1b,X
Tubb2a,0.39904000000000006,0.9970008408408408,0.39963915915915915,#66fe66,Tubb2a,X
Tubb3,0.39908000000000005,0.99710138,0.39967862000000004,#66fe66,Tubb3,X
Tubb4a,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Tubb4a,X
Tubb4b,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Tubb4b,X
Txnip,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Txnip,X
U2af1l4,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,U2af1l4,X
Uba3,0.37255813953488376,0.636279069767442,0.6111627906976744,#5fa29c,Uba3,X
Ubc,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Ubc,X
Ube2a,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Ube2a,X
Ube2d3,0.3726409302325582,0.6112986046511627,0.6364204651162791,#5f9ca2,Ube2d3,X
Ube2l6,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Ube2l6,X
Ube2o,0.39976,0.991581223671013,0.407578776328987,#66fd68,Ube2o,X
Unc5a,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Unc5a,X
Uncx,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Uncx,X
Uqcrc2,0.3608,0.889413953488372,0.37338604651162793,#5ce35f,Uqcrc2,X
Urb1,0.3987860377358491,0.3994120754716981,0.9935218867924528,#6666fd,Urb1,X
Usp17lc,0.8986492143549951,0.41334372453928225,0.48782706110572266,#e5697c,Usp17lc,X
Usp27x,0.9796121739130436,0.39996000000000004,0.42024782608695654,#fa666b,Usp27x,X
Usp36,0.9775273601570167,0.4111463199214917,0.4111463199214917,#f96969,Usp36,X
Uspl1,0.948646404109589,0.3908698630136987,0.38398373287671234,#f26462,Uspl1,X
Vamp1,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Vamp1,X
Veph1,0.8004586562804284,0.39984000000000003,0.5989813437195716,#cc6699,Veph1,X
Vmn1r63,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Vmn1r63,X
Vmn2r10,0.5915915915915916,0.7351351351351352,0.4732732732732733,#97bb79,Vmn2r10,X
Vwa3b,0.4163254437869823,0.4003810650887574,0.9796934911242603,#6a66fa,Vwa3b,X
Wbscr16,0.40417221664994984,0.9234783550651956,0.4721694282848546,#67eb78,Wbscr16,X
Wdfy2,0.39968000000000004,0.9144133199598796,0.48446668004012033,#66e97c,Wdfy2,X
Wdr26,0.36004,0.6489093023255814,0.6112306976744186,#5ca59c,Wdr26,X
Wdr34,0.3608,0.889413953488372,0.37338604651162793,#5ce35f,Wdr34,X
Wdr45b,0.37259953488372094,0.6237902325581396,0.6237902325581396,#5f9f9f,Wdr45b,X
Wdr83,0.39904000000000006,0.6950180140421264,0.7016219859578737,#66b1b3,Wdr83,X
Wwc1,0.7037350434782608,0.6490841739130434,0.3876007826086956,#b3a663,Wwc1,O
Zbtb11,0.7905769980119284,0.6051084691848907,0.40413453280318096,#ca9a67,Zbtb11,X
Zbtb21,0.7206225296442689,0.4363221343873518,0.6412553359683794,#b86fa4,Zbtb21,X
Zbtb33,0.8678781499513145,0.39996000000000004,0.5319818500486855,#dd6688,Zbtb33,X
Zbtb41,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zbtb41,X
Zc3h11a,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zc3h11a,X
Zc3h12c,0.36008,0.6238595348837209,0.6364204651162791,#5c9fa2,Zc3h12c,X
Zc3h6,0.46560158415841585,0.40038574257425746,0.9304126732673268,#7766ed,Zc3h6,X
Zdbf2,0.36084000000000005,0.9021,0.36084000000000005,#5ce65c,Zdbf2,X
Zdhhc2,0.39912000000000003,0.9972019180819182,0.39971808191808195,#66fe66,Zdhhc2,X
Zfand5,0.9812066407010711,0.39996000000000004,0.418653359298929,#fa666b,Zfand5,X
Zfp207,0.9788699707887051,0.39996000000000004,0.4209900292112951,#fa666b,Zfp207,X
