,trained,yoked,FC,candy
1700001P01Rik,0.31139691714344747,0.9339160582947513,-0.6225191411513038,X
1700003E16Rik,5.020414919186693,5.146293995413765,-0.12587907622707206,X
1700003F12Rik,1.7842208176416652,2.352169473253767,-0.5679486556121016,X
1700006E09Rik,0.30238590423391526,0.10445604883414199,0.19792985539977326,X
1700007G11Rik,0.23789788659643007,0.0,0.23789788659643007,X
1700008O03Rik,0.9039293784094968,0.4619083142390858,0.44202106417041104,X
1700010I14Rik,0.884869825359373,0.4983169462632282,0.3865528790961448,X
1700011E24Rik,0.20600717399698606,0.2912404010240939,-0.08523322702710781,X
1700013F07Rik,0.8509807457339887,1.0329178734931768,-0.18193712775918802,X
1700014D04Rik,1.0542621157046033,0.09193017002669761,0.9623319456779057,X
1700015E13Rik,0.5005618576242923,0.714367720970659,-0.21380586334636675,X
1700016D06Rik,2.6981865625055397,2.8102690008683417,-0.11208243836280207,X
1700016K19Rik,0.944438186564944,0.4356907940617236,0.5087473925032204,X
1700017B05Rik,5.196766295655897,4.788241560269124,0.4085247353867736,X
1700019A02Rik,0.3806499059044734,0.31346199926852775,0.06718790663594565,X
1700019B03Rik,0.7821563432250114,0.0,0.7821563432250114,X
1700019D03Rik,4.2470112470178245,3.9223514723392015,0.32465977467862306,X
1700020A23Rik,0.40968581487159583,0.6035079922099,-0.1938221773383042,X
1700020D05Rik,1.7391609293433898,3.0972262823761025,-1.3580653530327127,X
1700020L24Rik,0.49876561545275716,0.5845697416228545,-0.0858041261700973,X
1700020N01Rik,0.27612724829921403,0.39386089742908625,-0.11773364912987222,X
1700021F05Rik,4.434845974615206,4.662955926430727,-0.2281099518155214,X
1700022I11Rik,0.24976215454354955,0.9049905134556319,-0.6552283589120823,X
1700023F06Rik,1.036977432600637,1.7443705566795458,-0.7073931240789089,X
1700024P16Rik,0.9567615116892114,0.16893288033491546,0.7878286313542959,X
1700025G04Rik,8.052923785928314,7.733705020776152,0.3192187651521623,X
1700027J19Rik,0.2595700881452254,0.45929485769453193,-0.1997247695493065,X
1700028J19Rik,1.2871372822657319,0.33016463285906966,0.9569726494066622,X
1700028K03Rik,0.6892188616287684,0.5773783803822506,0.1118404812465178,X
1700028P14Rik,1.3198871757313513,0.6570342773158261,0.6628528984155252,X
1700029F12Rik,0.19790890990295532,0.1582722654445699,0.03963664445838541,X
1700029H14Rik,0.20600717399698606,0.5359453818835662,-0.3299382078865801,X
1700029I15Rik,2.4242804791821686,3.3421620829862078,-0.9178816038040392,X
1700029J07Rik,2.6901861818179014,2.9789880929007553,-0.2888019110828539,X
1700030J22Rik,2.219671540737737,3.0368450030803014,-0.8171734623425642,X
1700030K09Rik,4.646039527745097,5.190832227093634,-0.5447926993485366,X
1700034I23Rik,1.1735147701375683,2.0333434687980234,-0.8598286986604551,X
1700034J05Rik,0.6906252774442406,0.7171691564640913,-0.02654387901985067,X
1700037C18Rik,2.182835410653447,2.2948305251156538,-0.11199511446220667,X
1700037H04Rik,4.858503098344536,4.759833986786324,0.09866911155821168,X
