,R,G,B,hex_val,hls_val
Ranbp2,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Rasd1,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Rasl11a,0.09556636884357347,0.7354750386265603,0.5917098016315595,#18bc97,#18bc97
Rbbp5,0.9105017333000556,0.8838544502834627,0.15425954222923996,#e8e127,#e8e127
Rbbp8,0.14371041641463939,0.6051270063913221,0.6039957607744695,#259a9a,#27a5a5
Rbm38,0.003463520786868424,0.9377996173060119,0.5860504903941498,#01ef95,#01ef95
Rbp4,0.5329221203631821,0.6921839985861863,0.3944920319444671,#88b165,#88b165
Rbsn,0.21236580134499644,0.12834536713646877,0.09994566970989402,#362119,#8b5441
Rdh16,0.24068890163055698,0.11141108698917782,0.15083492749835675,#3d1c26,#8b4157
Rfc5,0.010580019377438198,0.8929688761178767,0.5168199531852364,#03e484,#03e484
Rfx2,0.9249416630402854,0.4549080544404731,0.853152765690008,#ec74da,#ec74da
Rfx7,0.9968150846093795,0.8024285047954101,0.30658479697005225,#fecd4e,#fecd4e
Rgmb,0.08910083087364651,0.9110252086110014,0.5048453459122633,#17e881,#17e881
Rgs2,0.9105017333000556,0.8838544502834627,0.15425954222923996,#e8e127,#e8e127
Rgs4,0.9652984637343519,0.8437163812504399,0.167524603692331,#f6d72b,#f6d72b
Ripk3,0.40862869084556835,0.2731766472026604,0.403872823141278,#684667,#7a5279
Rnf128,0.3110689020243908,0.660277082111546,0.3898297665278586,#4fa863,#4fa863
Rnf138rt1,0.6745775055870477,0.26736286512017376,0.9541574909969446,#ac44f3,#ac44f3
Rnf149,0.2600199746233593,0.12535041711402337,0.14344804629832683,#422025,#8a424c
Rnft1,0.8933357666778025,0.3952689943331274,0.9054215692307297,#e465e7,#e465e7
Rnpc3,0.9968150846093795,0.8024285047954101,0.30658479697005225,#fecd4e,#fecd4e
Rom1,0.052591679327645656,0.8789794519105912,0.7115815851150968,#0de0b5,#0de0b5
Rora,0.7870079410908346,0.3413168452995792,0.9225376644912856,#c957eb,#c957eb
Rorb,0.8172806039090451,0.31235842595696134,0.9787812083737549,#d050fa,#d050fa
Rpl21-ps4,0.40876860954498606,0.2734577642542892,0.4041940142082343,#684667,#7a5279
Rpl36a,0.9333355652482782,0.8293492281826723,0.17419759527950532,#eed32c,#eed32c
Rpp21,0.12586281397731405,0.3968760165691966,0.19162825344524761,#206531,#319b4b
Rsbn1l,0.09375226134080861,0.742134952002333,0.6783520550935311,#18bdad,#18bdad
Rsrc1,0.7864899388113575,0.33325839822508857,0.9071371142541598,#c955e7,#c955e7
Rundc1,0.1503544068500702,0.3569036632079934,0.292328808413929,#265b4b,#3c9076
Samd11,0.22836427045454763,0.06861172035319993,0.17331986032900717,#3a112c,#9d2f77
Samm50,0.143625347806728,0.6055295748294658,0.604589540525773,#259a9a,#27a5a5
Sbds,0.0030925711458012098,0.9892953504776804,0.6127828166694986,#01fc9c,#01fc9c
Scd3,0.0030925711458012098,0.9892953504776804,0.6127828166694986,#01fc9c,#01fc9c
Scg2,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Scg3,0.0002031943434119688,0.9658988589161314,0.59401880794432,#00f697,#00f697
Scrn1,0.08821631188860005,0.8012375149920763,0.719386498452841,#16ccb7,#16ccb7
Sdcbp,0.43185601381527755,0.255859091650664,0.09233416900961512,#6e4118,#a86424
Sebox,0.40883008939425847,0.2737004554533161,0.4043057280497877,#684667,#7a5279
Sec61b,0.143625347806728,0.6055295748294658,0.604589540525773,#259a9a,#27a5a5
Serp1,0.03543659814149265,0.9175634928090219,0.7090550978425717,#09eab5,#09eab5
Sf3b1,0.9249416630402854,0.4549080544404731,0.853152765690008,#ec74da,#ec74da
Sgk1,0.9652984637343519,0.8437163812504399,0.167524603692331,#f6d72b,#f6d72b
Sgpl1,0.09711655960544993,0.7562064678194254,0.5864799906417942,#19c196,#19c196
Sh2d3c,0.8922265426618068,0.39359534492131604,0.9067284649686626,#e464e7,#e464e7
Shc4,0.6745775055870477,0.26736286512017376,0.9541574909969446,#ac44f3,#ac44f3
Shmt2,0.4112470628188962,0.015606855587066806,0.4956538422726895,#69047e,#a406c6
Siah2,0.9652984637343519,0.8437163812504399,0.167524603692331,#f6d72b,#f6d72b
Sik1,0.8383422825464282,0.3332082442001111,0.9425483992032023,#d655f0,#d655f0
Slc14a1,0.6047025510953188,0.10787065306000677,0.9007441095731872,#9a1ce6,#9a1ce6
Slc16a1,0.0021147629087829006,0.9886553545996409,0.6100779481216672,#01fc9c,#01fc9c
Slc18a2,0.6174057796493594,0.5136080818929916,0.012784776409646283,#9d8303,#c8a604
Slc18b1,0.09727343471625984,0.6346923650956718,0.3964951193004903,#19a265,#1bb16f
Slc20a2,0.0030925711458012098,0.9892953504776804,0.6127828166694986,#01fc9c,#01fc9c
Slc23a4,0.19509729101073622,0.2070261581303631,0.20621895499363915,#323535,#636969
Slc25a25,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Slc2a3,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Slc2a5,0.0,0.9663016176806305,0.5951341953050678,#00f698,#00f698
Slc35c2,0.02852984064403775,0.9613090087562257,0.6887061430825657,#07f5b0,#07f5b0
Slc36a4,0.25940667952887514,0.26429606602029887,0.41086517892434965,#424369,#4f507d
Slc5a10,0.40883008939425847,0.2737004554533161,0.4043057280497877,#684667,#7a5279
Slc6a6,0.838342282546428,0.3332082442001109,0.9425483992032028,#d655f0,#d655f0
Slc7a15,0.22836427045454763,0.06861172035320003,0.17331986032900729,#3a112c,#9d2f77
Slco2a1,0.21062113388030726,0.1299025613436988,0.10131289401401877,#36211a,#8a5542
Smad7,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Smc1b,0.21036031475818365,0.15648881916001559,0.19870948339299835,#362833,#75576e
