,Arc,Prkcz,Nsf,Fmr1,gene
Neurl4,0,1,999,21,Neurl4
Neurod2,997,33,3,1,Neurod2
Nexn,766,261,0,8,Nexn
Nfam1,115,893,2,20,Nfam1
Nfil3,1000,35,0,1,Nfil3
Ngrn,994,41,0,1,Ngrn
Nkrf,991,36,0,1,Nkrf
Nkx2-2,994,33,0,1,Nkx2-2
Npas4,1000,35,0,1,Npas4
Nppa,1,21,21,999,Nppa
Nptx2,999,36,0,1,Nptx2
Npy1r,0,32,7,984,Npy1r
Npy5r,0,2,999,21,Npy5r
Nr2f1,0,0,43,979,Nr2f1
Nr4a1,1000,35,0,1,Nr4a1
Nr4a2,1000,35,0,1,Nr4a2
Nr4a3,1000,35,0,1,Nr4a3
Nrg2,18,350,634,0,Nrg2
Nrip1,0,1,42,980,Nrip1
Nsf,0,1,1000,22,Nsf
Nsmaf,0,22,21,998,Nsmaf
Ntpcr,125,887,0,13,Ntpcr
Nuak1,1000,35,0,1,Nuak1
Nuf2,6,940,58,20,Nuf2
Numb,0,124,368,524,Numb
Nup50,1000,35,0,1,Nup50
Nupr1,0,22,21,998,Nupr1
Odf4,319,122,558,0,Odf4
Olfml2b,84,14,0,908,Olfml2b
Olfr635,310,122,567,0,Olfr635
Orc5,0,20,23,999,Orc5
Otog,0,20,23,999,Otog
Otud1,1000,35,0,1,Otud1
Oxr1,0,1,1000,22,Oxr1
Pak6,840,32,7,159,Pak6
Palb2,0,13,984,6,Palb2
Parg,0,0,310,712,Parg
Pcdh8,992,35,0,1,Pcdh8
Pdia4,0,21,22,999,Pdia4
Peli1,993,34,0,1,Peli1
Per1,999,34,1,1,Per1
Phlda1,1000,35,0,1,Phlda1
Phtf1,0,1,1000,22,Phtf1
Pick1,0,21,22,999,Pick1
Pigb,351,676,0,9,Pigb
Pigm,684,343,0,9,Pigm
Pira2,319,122,558,0,Pira2
Pkd1,0,0,43,979,Pkd1
Plagl1,1000,35,0,1,Plagl1
Pld6,0,1,1000,22,Pld6
Plekho1,991,36,0,1,Plekho1
