,R,G,B,hex_val,hls_val
Kcna4,0.6117803882638464,0.5344039583273196,0.8016593888597111,#9c88cc,#9c88cc
Kcnj2,0.0002060293298935025,0.05556750054301927,0.2552392230411853,#000e41,#002ccc
Kcnma1,0.7932581399474821,0.45945325979020024,0.17317008585037044,#ca752c,#ca752c
Kctd12,0.37085584423378115,0.9908124998768103,0.012551840765086556,#5ffd03,#5ffd03
Kctd6,0.5442038084397827,0.5385815528114787,0.9837782667437518,#8b89fb,#8b89fb
Kctd8,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Kdm6b,0.0002060293298935025,0.0555675005430194,0.2552392230411854,#000e41,#002ccc
Keap1,1.0,0.11459809998745692,0.13559287831446393,#ff1d23,#ff1d23
Khdrbs2,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
Klf16,0.3590521335753398,0.9713339118335256,0.0183708243882845,#5cf805,#5cf805
Klf2,0.022255332115604307,0.014490662222209542,0.33334427948047457,#060455,#0d08c4
Klf8,0.3119321637403545,0.8852645780448167,0.0014858992546804167,#50e200,#50e200
Klhdc2,0.03620067330520074,0.019762628717886997,0.35683240845740266,#09055b,#140bc1
Klhl21,0.5457896525478544,0.5775913342941075,0.9961766355561654,#8b93fe,#8b93fe
Klhl26,0.0532151870503474,0.0020336712271448072,0.3432048116326682,#0e0158,#1f01cb
Knop1,0.25254078159808896,0.731217319237843,0.037087216859628486,#40ba09,#43c20a
Krba1,0.5821354012545389,0.55926792066996,0.9060312322421848,#948fe7,#948fe7
Krcc1,0.9988997033779948,0.11535078406001181,0.13352615544938512,#ff1d22,#ff1d22
L3hypdh,0.5767804543454707,0.5391768063584703,0.9677451556757871,#9389f7,#9389f7
Lat,0.5639153129724723,0.6089672890251716,0.91512939576695,#909be9,#909be9
Lats1,0.9210416309339009,0.21304951367672698,0.33891113674310586,#eb3656,#eb3656
Lbh,0.3088372592647892,0.0025106014887738663,0.26881471916895094,#4f0145,#ca02b0
Lgals1,0.5696359992493559,0.5950045463829319,0.9393773914775448,#9198f0,#9198f0
Lgmn,0.967165092264309,0.16623098336968442,0.2528286139519033,#f72a40,#f72a40
Lif,0.6786293153941252,0.4625153691686563,0.6790466114507774,#ad76ad,#ad76ad
Lin7c,0.3982663814688573,0.9703720159861148,0.08431671836562359,#66f716,#66f716
Lmo7,0.9999281486164928,0.11427985530109261,0.13522924940070116,#ff1d22,#ff1d22
Lonrf1,1.0809580519246763e-16,0.05582621099199005,0.2556938515616244,#000e41,#002dcc
Lrrc10b,0.9996974910994847,0.11365364821106842,0.13485824859012713,#ff1d22,#ff1d22
Lrrc48,0.049204605182631075,0.043358459368446525,0.27488067326459903,#0d0b46,#201cb0
Lsm7,0.7030387758195595,0.4494495447501756,0.7251088489852463,#b373b9,#b373b9
Lyrm2,0.34777837952010143,0.9594126934538568,0.0022272248335924406,#59f501,#59f501
Lysmd3,0.9285409064251474,0.21336131168186656,0.3367848029840173,#ed3656,#ed3656
Lysmd4,0.8208441033273944,0.29911026367404725,0.30954853994677944,#d14c4f,#d14c4f
M1ap,0.03563210450037823,0.0091774986621861,0.3593736532263266,#09025c,#1405c7
Malsu1,0.5453827247274733,0.5383834740915764,0.9861607979273475,#8b89fb,#8b89fb
Maml2,0.905907333026498,0.24182848147449024,0.35458556795470875,#e73e5a,#e73e5a
Mamld1,0.5506830219298249,0.7916051731490737,0.212296647684925,#8cca36,#8cca36
Mapkapk2,0.3408170791100002,0.9506373556894819,0.00010851841567703035,#57f200,#57f200
Mapre1,0.04614450761841585,0.022360636446161427,0.38087328461136977,#0c0661,#170bc1
March11,0.8199694832296683,0.42738646265973057,0.1094732563263642,#d16d1c,#d16d1c
Mcl1,1.0809580519246763e-16,0.05582621099199005,0.2556938515616244,#000e41,#002dcc
Mea1,0.9346369735889765,0.20777711847635663,0.3215679260260373,#ee3552,#ee3552
Mest,1.0809580519246763e-16,0.05582621099199005,0.2556938515616244,#000e41,#002dcc
Mettl7a1,0.35844681263685124,0.9773593075900877,0.004682568328768915,#5bf901,#5bf901
Mfap1a,0.5642576494957592,0.5947136710248401,0.9634998511967672,#9098f6,#9098f6
Mfap3l,0.8974732946892955,0.25164803114091105,0.37750895782706945,#e54060,#e54060
Mgst3,0.6238753629978169,0.49965864543674643,0.9028762566943541,#9f7fe6,#9f7fe6
Minpp1,0.5713899677977562,0.5838184368065256,0.9570401293118422,#9295f4,#9295f4
Mis12,0.496344351339888,0.7846047196028979,0.03766116780826635,#7fc80a,#7fc80a
Mkks,0.9650419419686592,0.1562154916989253,0.17657613726418384,#f6282d,#f6282d
Mmp12,0.03563210450037823,0.0091774986621861,0.3593736532263266,#09025c,#1405c7
Mn1,0.6962016949653491,0.4109849932574689,0.5511370772699827,#b2698d,#b2698d
Mobp,0.28337450130496195,0.32873855517232,0.6409233836785685,#4854a3,#4854a3
Mrpl42,0.9436269363440162,0.19793142836040373,0.2991319944721568,#f1324c,#f1324c
Mrps16,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
Mrps23,0.365860736182614,0.9869595840806286,0.00780756099099826,#5dfc02,#5dfc02
Mrps26,0.9997200362396709,0.11519556306532255,0.13534063521421252,#ff1d23,#ff1d23
Msmo1,0.21291221645730193,0.48174824136403366,0.2410973928862235,#367b3d,#3f8d47
Mtch2,0.0013403111967101279,0.05691347976178177,0.25812725540522025,#000f42,#012dcb
Mtrf1,0.37705713238749217,0.994772761335334,0.023699257496930817,#60fe06,#60fe06
Myd88,0.3492463550153255,0.9622493299599049,0.0029661755301942285,#59f501,#59f501
Myeov2,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Myl12b,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Myom1,0.3718720393403821,0.9915635634148195,0.01349171099078333,#5ffd03,#5ffd03
Naa30,0.5298711256722725,0.6265745495620911,0.9402719410463706,#87a0f0,#87a0f0
Nab2,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
Naf1,0.33532439919080903,0.9394717968815173,0.0016264562470171614,#56f000,#56f000
Nap1l5,1.0809580519246763e-16,0.05582621099199005,0.2556938515616244,#000e41,#002dcc
Ndnl2,0.5253661347645472,0.6242986519541549,0.940185631311169,#869ff0,#869ff0
Ndufs4,0.4333630811710469,0.3426014476133294,0.7224306278522997,#6f57b8,#6f57b8
Ndufs5,0.9972203125166249,0.11751813710697064,0.13977706261113135,#fe1e24,#fe1e24
Ndufv1,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Necap1,0.9999932558030947,0.11465154360383575,0.1356478392800399,#ff1d23,#ff1d23
Neurl4,0.9998459413736198,0.11389099937013139,0.13493034224214792,#ff1d22,#ff1d22
Neurod2,0.5041689130261217,0.5187780655332853,0.9268420259483284,#8184ec,#8184ec
Nexn,0.47943141420108476,0.7555711485289577,0.6586988691067287,#7ac1a8,#7ac1a8
Nfam1,0.3492651233105483,0.9646607479718466,0.0007105974822444134,#59f600,#59f600
Nfil3,0.03497909347827037,0.008670439712820475,0.3576446489895501,#09025b,#1305c7
Ngrn,0.6277657676737818,0.41932882553317913,0.7465821112740775,#a06bbe,#a06bbe
Nkrf,0.3781720992539284,0.8917151838538648,0.2073174148682754,#60e335,#60e335
Nkx2-2,0.46781352088737393,0.8061109482269665,0.5706519376445605,#77ce92,#77ce92
Npas4,0.03472827573671294,0.005855784837707796,0.32992412733244764,#090154,#1504c8
Nppa,0.4888210896725353,0.7793723865131083,0.6468404349154473,#7dc7a5,#7dc7a5
Nptx2,0.0015634642088027517,0.05420418861051656,0.2560276334072856,#000e41,#012bcb
Npy1r,0.38693983370903345,0.8829689750722999,0.18214712010369427,#63e12e,#63e12e
Npy5r,0.5748238187690369,0.5862536593284184,0.9226607907556762,#9395eb,#9395eb
Nr2f1,0.592503445983063,0.5596582432765225,0.9389639350927156,#978fef,#978fef
Nr4a1,0.0002060293298935025,0.0555675005430194,0.2552392230411854,#000e41,#002ccc
Nr4a2,0.00035006999658003724,0.05222595518550047,0.25829496233224747,#000d42,#0029cc
Nr4a3,1.0809580519246763e-16,0.05582621099198965,0.2556938515616243,#000e41,#002dcc
Nrg2,0.31774837297667596,0.272579045994173,0.6357189598477921,#5146a2,#5146a2
Nrip1,0.9290242751951961,0.21441637696701807,0.33536163716667095,#ed3756,#ed3756
Nsf,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
Nsmaf,0.3927546851374863,1.0,0.06084409238972252,#64ff10,#64ff10
Ntpcr,0.0002060293298935025,0.0555675005430194,0.2552392230411854,#000e41,#002ccc
Nuak1,0.000714360292522676,0.051373750593094104,0.26120931666444763,#000d43,#0128cb
Nuf2,0.4878869609812868,0.5264433286349082,0.9319485972265189,#7c86ee,#7c86ee
Numb,0.5088815083185497,0.6245805712728161,0.8638372232656242,#829fdc,#829fdc
Nup50,0.2964902662134839,0.8369990119165269,0.01696772452782281,#4cd504,#4cd504
Nupr1,0.33531917855159743,0.9390228096461161,0.0003189970592997097,#56ef00,#56ef00
Odf4,0.03563210450037839,0.0091774986621861,0.3593736532263266,#09025c,#1405c7
Olfml2b,0.34033568095497846,0.9496817335148644,0.00023753272728202179,#57f200,#57f200
Olfr635,0.4451811731053554,0.41926963846323,0.854658540469949,#726bda,#726bda
Orc5,0.651339095651369,0.4618234622063026,0.7849663202350868,#a676c8,#a676c8
Otog,0.5675168098048678,0.6004170253393849,0.9159314426923209,#9199ea,#9199ea
Otud1,1.0809580519246763e-16,0.05582621099199005,0.2556938515616244,#000e41,#002dcc
Oxr1,0.9871904159757098,0.12838319965971337,0.15739545797729154,#fc2128,#fc2128
Pak6,0.6174855104505578,0.54224067060966,0.869901226388727,#9d8ade,#9d8ade
Palb2,0.9078622194201801,0.24475811051940485,0.3420901583647695,#e83e57,#e83e57
Parg,0.9992092827942539,0.11290202551936164,0.13424866795481447,#ff1d22,#ff1d22
Pcdh8,0.3119321637403545,0.8852645780448167,0.0014858992546804167,#50e200,#50e200
Pdia4,0.5619178995968747,0.6136390948890779,0.9223470648099843,#8f9ceb,#8f9ceb
Peli1,0.30905987933134393,0.877773875147256,0.002321509810797322,#4fe001,#4fe001
Per1,0.04998453350222359,0.0004964048899520099,0.34623395894847764,#0d0058,#1d00cc
Phlda1,0.015581466263849042,0.03189194587437516,0.3093513348563075,#04084f,#0a14c2
