"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"1110017D15Rik",6.49579787009552,6.49579787009552,6.92629450866597,6.62402240560936,6.49579787009552,6.93916803214872,6.72986324462177,6.49579787009552,6.66681042479046,6.49579787009552,6.49579787009552,6.87539708923679,6.88318126005171
"1110032A03Rik",7.24298406954219,7.36111593249244,7.62982908444718,7.388472121085,7.28197519729642,7.20838216864671,7.33524071751739,6.98403215768709,7.60342658556623,7.23029084969693,7.08112301039451,7.51328678130522,7.40233306729859
"1110032F04Rik",7.56728973932226,7.19546334229247,6.80076744890793,7.36207748712787,6.89251724532913,7.04458294848986,7.34140146551953,7.45894660222148,7.32270963039086,7.37744436092443,6.77319164294349,7.27863848570742,7.2637939795929
"1110034G24Rik",7.26195625087524,6.83186832181757,7.48939808881358,7.14435747025963,6.91641800675392,6.97176864256137,7.16088922575865,6.49579787009552,6.97753645913112,6.7194313294023,7.4022434651808,7.12528449229229,7.07472799186221
"1110037F02Rik",7.76331354941748,8.03686353683589,8.59271677726756,7.67293801458047,7.88959190857435,7.83315685815345,7.7402881728177,8.2258013892382,8.11242917368613,8.22311477938287,8.36556236640927,7.86792510596855,7.91999273193882
"1110038F14Rik",7.45839341121202,7.56761950116246,7.0637322853152,7.4223556010531,7.4813484559293,7.15486790626539,7.34751270250804,7.63384495356925,7.2335945967352,7.47784845856316,7.27219224182236,7.25876825966975,7.19607146028789
"1110051M20Rik",7.96267454499452,8.35208863657356,8.12299231193849,8.36572084490055,8.11535093450728,8.17183101351947,8.48057179573998,8.18198979468218,8.30983091549622,8.38500682455224,8.16855467288926,8.12858352973743,8.31750548424137
"1110059E24Rik",7.1390301551977,7.34865890503756,7.32124211873704,7.388472121085,7.46253583801325,7.28595331348967,7.34140146551953,7.1640289373477,7.3392957812745,7.04088633839331,6.887492320083,7.16136314419872,7.2637939795929
"1110059G10Rik",7.06695926030026,7.1796747796,7.23606178770095,7.44687463663251,7.1045846882695,7.18751033917631,7.22887749288597,7.33366094249115,7.27059012973486,6.94173533926319,7.5973587961675,7.2486180028265,7.18955922900026
"1110065P20Rik",7.76331354941748,7.63294766775413,7.68407413875805,7.88678359461078,7.96621871539735,7.95927095757819,7.93568174153715,7.91017433776487,7.91923371587048,7.45386765724088,7.42195021061599,7.68555915874891,7.91715901944483
"1190002N15Rik",8.31796312651058,8.61435191557702,8.2764182542839,8.35895765735895,8.41047482435411,7.99400834707656,8.37790138740967,8.14310779452317,8.2320454754078,8.68133818196829,8.5696137332223,8.34478115138734,8.50219991731174
"1190005I06Rik",6.49579787009552,6.79652377771621,6.49579787009552,6.49579787009552,6.77676129217192,6.74240401765161,7.0169204718171,7.03499686987992,6.83722592006268,6.7194313294023,6.49579787009552,6.93370379596359,6.73346523490415
"1190007I07Rik",7.09200832156635,7.03576406776544,6.9766663542447,7.00619888413225,6.93899759569089,7.04458294848986,7.0169204718171,7.20151858233205,6.94668226334423,7.16144993312078,6.97479530307644,7.13755106254116,7.19607146028789
"1300017J02Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.77319164294349,6.49579787009552,6.49579787009552
"1500009C09Rik",8.09347548828045,7.97385534109893,8.09935540473001,7.99334838654267,7.9017368246429,7.95485144400792,8.02605696967383,7.91017433776487,7.96231612300688,7.74259723325667,7.62867599342501,7.77803421950333,7.95343744870687
"1500009L16Rik",7.18264677687749,6.75635165385186,6.92629450866597,7.32542087046674,7.35059601665086,7.23850590169156,7.10235799465239,6.49579787009552,7.17398695114871,7.0839867615759,6.49579787009552,7.0456020009238,7.23994157400463
"1500011B03Rik",8.1314707205537,8.11388822889257,7.55227238639945,8.27112989106161,8.17380789298648,8.21854520230882,8.30206865943721,7.95768328704769,8.37704194733042,7.90681411813617,7.84861586652557,8.1602879217581,8.15644339698314
"1500011K16Rik",7.60493712326481,7.26922672327023,7.84611622015547,7.49386137726602,7.30556351451346,7.26735690024619,7.38319761156382,7.36326646610812,7.57910452753276,7.42918043907587,7.29550142349022,7.35309994457856,7.34152722165949
"1500015O10Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.75199458877682,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,7.01278328264206,6.49579787009552,6.49579787009552
"1600002H07Rik",7.01303867355915,6.97001088780431,6.49579787009552,6.99015075316582,7.15013438913694,6.90388410336966,6.91350558193293,6.95635121349274,7.03378122631602,7.16144993312078,6.97479530307644,7.01618759754005,6.88318126005171
"1600002K03Rik",6.79548982303479,6.94587644181436,6.49579787009552,6.95631259387457,6.739215199874,6.49579787009552,6.95068918053639,6.49579787009552,6.83722592006268,6.7194313294023,6.69209571606559,6.77909591099152,6.83153238792302
"1600012H06Rik",7.34996001780205,7.28308008013981,6.9766663542447,7.27691141674687,7.16458527110118,7.26735690024619,7.20699292851769,7.39178360225111,7.27059012973486,6.99388091210328,7.19717828939547,7.17293409599719,7.25790715851316
"1600014C10Rik",7.80430120956691,7.48669784188938,7.32124211873704,7.55279292923142,7.65802566797541,7.49380083838514,7.40611932870799,7.33366094249115,7.66160757476282,7.0839867615759,7.61314822556396,7.59678345498719,7.5738081609179
"1600014C23Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.75214757851045,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700001C19Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.80936835097301,6.63644598465418,6.74240401765161,6.64393114422244,6.49579787009552,6.49579787009552,6.81174830882594,6.49579787009552,6.62265538798179,6.71279829726293
"1700001K19Rik",6.49579787009552,6.86377922763134,6.49579787009552,6.62402240560936,7.03755272000452,6.77142832146261,6.84251880716097,6.49579787009552,6.79165505037597,6.7194313294023,7.04806227516026,6.74926852104004,6.78671587573246
"1700001L19Rik",6.9837441484351,6.9929354355778,7.66632960040211,7.00619888413225,7.03755272000452,6.98723145933951,7.21436793044667,7.1640289373477,7.08445761818956,7.35025075466717,7.2231171426069,7.05970806808056,7.21522751861239
"1700001O22Rik",7.50083567119441,7.31001261870067,7.39765483692948,7.4223556010531,7.21931058820056,7.12039885557248,7.19953441239022,7.23697422740142,7.51529044172987,7.0839867615759,7.38204106348976,7.07345287090595,7.18955922900026
"1700001P01Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.61921347796823,6.72986324462177,6.49579787009552,6.66681042479046,6.49579787009552,6.49579787009552,6.49579787009552,6.73346523490415
"1700003E16Rik",7.78401158151331,7.16348474860575,7.78434728780866,7.47069293910404,7.38270949984148,7.46508995417797,7.53660299498712,7.66516354536989,7.79843749868801,7.60939885947167,7.2231171426069,7.39619097170596,7.2459821756365
"1700003F12Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.71774345576474,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.73750497357525,6.7194313294023,6.49579787009552,6.49579787009552,6.49579787009552
"1700006E09Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.95635121349274,6.73750497357525,6.81174830882594,6.49579787009552,6.49579787009552,6.59291658050793
"1700007B14Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.69209571606559,6.49579787009552,6.49579787009552
"1700007K09Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.86704007313198,6.49579787009552,6.49579787009552,6.77857424902541,6.66681042479046,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700007K13Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.67707516184158,6.49579787009552,6.61921347796823,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.67514379042013,6.49579787009552
"1700008O03Rik",6.91887116327371,6.49579787009552,6.49579787009552,6.71774345576474,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.79165505037597,6.49579787009552,6.69209571606559,6.83078640540719,6.80239490813827
"1700010I14Rik",6.84164615003661,6.92032560102507,6.8689624902286,6.80936835097301,6.49579787009552,6.61921347796823,6.80955535785129,6.92683275068942,6.66681042479046,6.99388091210328,7.08112301039451,6.62265538798179,6.83153238792302
"1700011E24Rik",6.49579787009552,6.64636485111115,6.49579787009552,6.49579787009552,6.49579787009552,6.61921347796823,6.64393114422244,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700011H14Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.49579787009552,6.74240401765161,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700011M02Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.62402240560936,6.49579787009552,6.49579787009552,6.49579787009552,7.10314809346252,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700012B09Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.67707516184158,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700013F07Rik",6.79548982303479,6.70863532264925,6.49579787009552,6.49579787009552,6.49579787009552,6.79764446817141,6.80955535785129,6.49579787009552,6.73750497357525,6.49579787009552,6.49579787009552,6.71538031853513,6.75245973893098
"1700014D04Rik",6.79548982303479,6.49579787009552,6.49579787009552,6.67707516184158,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552
"1700015E13Rik",6.49579787009552,6.75635165385186,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,7.01278328264206,6.77909591099152,6.59291658050793
"1700016D06Rik",6.79548982303479,6.49579787009552,6.49579787009552,6.71774345576474,6.91641800675392,6.86514808826529,6.72986324462177,6.82214659441162,6.87730491424811,6.49579787009552,6.49579787009552,6.93370379596359,6.71279829726293
"1700016K19Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.67514379042013,6.49579787009552
"1700017B05Rik",7.1390301551977,7.21087713837367,7.46738814942874,7.23558332531509,7.28197519729642,7.27671576778624,7.12814901570988,7.33366094249115,7.40228266441694,7.64936322707684,7.53133619881757,7.17293409599719,7.3036916647333
"1700017N19Rik",6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,6.49579787009552,7.01017259266551,6.49579787009552,6.49579787009552,6.83527430753766,6.49579787009552,6.49579787009552
