,Arc,Prkcz,Nsf,Fmr1,gene
Foxk1,231,875,364,238,Foxk1
Foxo1,0,0,0,0,Foxo1
Frat2,943,217,916,930,Frat2
Frmd6,0,0,0,0,Frmd6
Fto,77,795,96,79,Fto
Fut7,116,846,230,121,Fut7
Fxyd2,469,642,420,439,Fxyd2
Fzd4,997,163,862,960,Fzd4
Fzd5,59,24,46,56,Fzd5
Gabra4,0,0,0,0,Gabra4
Gadd45b,0,0,0,0,Gadd45b
Gadd45g,0,0,0,0,Gadd45g
Gas2,351,615,292,372,Gas2
Gata3,6,763,65,14,Gata3
Gatad2b,0,8,0,0,Gatad2b
Gch1,0,0,0,0,Gch1
Gcm1,888,149,776,876,Gcm1
Gcnt2,0,0,0,0,Gcnt2
Gdpd5,415,596,381,457,Gdpd5
Gemin4,63,848,161,62,Gemin4
Gimap8,992,166,863,959,Gimap8
Gipc3,0,0,0,1,Gipc3
Glce,990,170,869,967,Glce
Glrx3,891,269,968,878,Glrx3
Glt28d2,109,810,111,109,Glt28d2
Glyr1,2,580,25,11,Glyr1
Gm10130,116,846,230,121,Gm10130
Gm10184,1,0,1,1,Gm10184
Gm10250,809,313,778,779,Gm10250
Gm10696,116,846,230,121,Gm10696
Gm13889,0,0,0,0,Gm13889
Gm14685,0,0,0,0,Gm14685
Gm20425,116,846,230,121,Gm20425
Gm21830,175,777,268,202,Gm21830
Gm28036,889,258,957,876,Gm28036
Gm3854,360,626,325,395,Gm3854
Gm43786,0,0,0,0,Gm43786
Gm45140,346,610,283,367,Gm45140
Gm4847,239,863,344,237,Gm4847
Gm7276,116,846,230,121,Gm7276
Gm7694,0,0,0,0,Gm7694
Gm973,35,852,153,52,Gm973
Gm9925,890,257,956,877,Gm9925
Gmeb2,0,0,0,0,Gmeb2
Gmppb,43,823,124,49,Gmppb
Gnb1l,133,774,83,140,Gnb1l
Gphn,897,263,962,884,Gphn
Gpr157,4,757,61,14,Gpr157
Gpr19,0,0,0,0,Gpr19
Gpr22,0,0,0,0,Gpr22
Gprc5b,214,334,272,220,Gprc5b
Grasp,351,589,270,366,Grasp
Grb2,920,160,853,929,Grb2
Gria1,177,919,312,186,Gria1
Gria2,472,563,372,446,Gria2
Grin1,527,590,426,499,Grin1
Gstm2,0,0,0,0,Gstm2
Gstm5,33,824,148,37,Gstm5
Gstp1,912,248,947,899,Gstp1
Gyg,990,170,869,967,Gyg
H2-DMb1,50,872,175,57,H2-DMb1
H2-Q10,239,863,344,237,H2-Q10
Haghl,654,316,581,652,Haghl
Harbi1,224,886,345,222,Harbi1
Has2,39,865,166,49,Has2
Hexa,0,0,0,0,Hexa
Hilpda,18,746,48,22,Hilpda
Hipk3,972,188,887,959,Hipk3
Hist1h1d,29,806,131,33,Hist1h1d
Hist1h3i,985,173,872,972,Hist1h3i
Hmgcr,0,0,0,0,Hmgcr
Hmha1,31,826,144,32,Hmha1
Hnrnpf,0,0,0,0,Hnrnpf
Hnrnpul1,894,266,965,881,Hnrnpul1
Homer1,0,0,0,0,Homer1
Hpn,0,0,0,0,Hpn
Hpx,116,846,230,121,Hpx
