"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"1110038F14Rik",6.66065176716825,6.64459133834263,6.96842550338733,6.95275757658378,6.90398950220337,6.81890456226423,6.72370525335133,6.48182062244404,6.75641965518767,6.9297996688176,6.85185844063301,7.09733252918463
"1110051M20Rik",8.50159211403735,8.29075642305701,8.39961277510578,8.05823590376457,8.18158312183421,8.60303907879736,8.4143178915067,8.0688472529148,7.99978567073332,8.1693616742797,8.49249499030426,8.46595067099394
"1110059E24Rik",6.62061384869923,6.83815198390189,6.68741325644872,7.09748066665331,7.03897635701064,6.93602916339387,6.98876144796014,6.75084766364504,6.74263439024511,7.04369449432294,6.77123273357693,6.74679259642154
"1110059G10Rik",6.43469776319707,6.52726396556619,6.50171616861297,6.33414409144239,6.78044308433469,6.68436902756504,6.6479097345867,6.03361342466129,6.45251883551555,6.62014610428469,6.58291500144641,6.48461218845211
"1110065P20Rik",7.60652619837752,8.26500025952267,7.87635079434878,7.69623596521655,7.698253637424,7.83451162439121,7.02881453662547,7.14947116215827,7.04253557423898,7.33118323877232,7.70756264816761,7.43644677451808
"1190002N15Rik",6.57841058142049,5.74601471773009,6.72775853067017,6.78292947722468,6.84427756997434,6.88575368190986,6.88851215548051,6.40553789019331,6.8222917097053,6.52332011673904,6.37897466665394,6.71254345183554
"1190005I06Rik",5.74601471773009,5.74601471773009,6.15323483203576,6.38940370799125,6.40851296874569,6.0009127681416,6.44382925268539,5.74601471773009,5.91898088471956,6.25579385114531,6.21218382091199,5.96598844840125
"1190007I07Rik",6.27209387059003,6.38645313262446,6.32003085757433,6.11951744560923,6.46057228151526,6.34036937992902,6.22255185613062,6.07792280086529,6.27645869648311,6.35398345014251,6.35451166444357,6.2110852954645
"1500009C09Rik",7.79634183104493,8.45860654986162,7.21099817777674,7.97399037465546,7.85280640141873,8.17853408396885,7.79031131240926,7.58073984433095,8.02235917004897,7.66853513776788,8.36793602415571,7.79787600876713
"1500009L16Rik",6.60680223492986,6.64459133834263,6.15323483203576,6.84303400695736,7.07620150018926,6.74674955212543,6.56415175244217,6.94470096311447,6.55626593389874,6.05168137211589,6.68246260095642,6.46871194211157
"1500011B03Rik",7.96163743595511,8.15677829865023,7.75970879055566,7.94095819095092,7.82723032276009,8.07503831642988,7.72023310472665,7.35007220512485,7.66693402864835,7.84061815730986,8.2819848550185,8.12026795497688
"1500011K16Rik",6.56380361520673,6.83815198390189,7.50696380166105,6.68430092586366,6.67504700178931,7.06242298335718,7.00228892198559,6.6848009990257,6.85351428849125,7.1229929838886,6.8646327999067,6.98226634418856
"1520401A03Rik",5.97135139674533,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.02197511661527,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009
"1600002H07Rik",6.64752807415448,6.52726396556619,6.38674697910087,5.74601471773009,6.46057228151526,6.5429508963786,6.8098613056971,6.07792280086529,6.71438296148631,6.45062518334472,6.82576963083975,6.73552773210108
"1600002K03Rik",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,6.46057228151526,6.25384827263699,6.2603486507478,5.74601471773009,6.51101242505695,6.19838463573641,6.4251023322401,6.46871194211157
"1600012H06Rik",7.12805270877413,6.83815198390189,7.10998468997023,6.27277285307283,6.59646374677035,6.97210451197133,6.84212641297254,7.16625406684374,6.80949864811724,7.0810381277767,6.91407002848776,6.90069052705898
"1600014C10Rik",7.32376965486912,6.83815198390189,7.34715792531749,7.11975615356628,7.20251239796264,7.39518034941197,6.93274010563281,7.01437741605778,7.2237065787207,7.23989187146999,7.56221638388506,6.92864514170194
