,Arc,Prkcz,Nsf,Fmr1,gene
Hspa1b,356,0,3,724,Hspa1b
Hspb3,0,2,0,1,Hspb3
Hsph1,2,131,581,7,Hsph1
Htr5b,101,31,851,21,Htr5b
Ier3,1,205,47,54,Ier3
Ifrd1,712,101,242,1,Ifrd1
Igf2r,627,367,41,0,Igf2r
Ighv5-17,368,0,5,707,Ighv5-17
Ikbip,1,267,62,27,Ikbip
Ikzf1,0,114,605,0,Ikzf1
Il16,999,11,50,170,Il16
Il34,342,0,2,736,Il34
Il3ra,0,114,605,0,Il3ra
Ildr1,749,115,190,2,Ildr1
Ilvbl,998,9,50,173,Ilvbl
Impg2,1,111,607,1,Impg2
Ing2,195,0,3,949,Ing2
Ipmk,632,358,45,0,Ipmk
Iqcg,0,110,615,0,Iqcg
Iqub,168,53,1,975,Iqub
Irf9,387,2,6,545,Irf9
Irs1,329,3,4,571,Irs1
Irs2,144,38,112,864,Irs2
Iscu,11,990,48,24,Iscu
Itga7,723,29,300,0,Itga7
Itgam,5,181,44,92,Itgam
Itgb7,723,30,299,0,Itgb7
Jade3,171,8,34,909,Jade3
Jag1,201,0,2,943,Jag1
Jdp2,632,358,45,0,Jdp2
Jmjd1c,21,57,942,2,Jmjd1c
Jun,440,18,449,114,Jun
Junb,712,101,242,1,Junb
Jund,629,349,61,4,Jund
K230010J24Rik,21,900,1,61,K230010J24Rik
Katnal1,55,26,94,284,Katnal1
Kazn,5,227,50,23,Kazn
Kcna4,0,115,603,1,Kcna4
Kcnj2,99,4,551,335,Kcnj2
Kcnma1,37,965,21,29,Kcnma1
Kctd12,0,110,614,2,Kctd12
Kctd6,187,8,0,958,Kctd6
Kctd8,22,56,937,2,Kctd8
Kdm6b,36,15,479,13,Kdm6b
Keap1,0,116,605,0,Keap1
Khdrbs2,0,116,603,0,Khdrbs2
Klf16,40,32,100,289,Klf16
Klf2,629,350,60,4,Klf2
Klf8,170,32,1,997,Klf8
Klhdc2,632,358,45,0,Klhdc2
Klhl21,101,4,547,326,Klhl21
Klhl26,723,29,300,0,Klhl26
Knop1,2,130,582,8,Knop1
Krba1,23,23,487,11,Krba1
Krcc1,0,116,603,0,Krcc1
L3hypdh,169,47,1,982,L3hypdh
Lat,8,201,61,27,Lat
Lats1,4,173,51,86,Lats1
Lbh,723,29,300,0,Lbh
Lgals1,92,334,1,686,Lgals1
Lgmn,3,334,18,19,Lgmn
Lif,114,21,4,877,Lif
Lin7c,936,21,66,193,Lin7c
Lmo7,11,990,48,24,Lmo7
Lonrf1,35,888,8,97,Lonrf1
Lrrc10b,0,115,603,1,Lrrc10b
Lrrc48,36,15,479,16,Lrrc48
Lsm7,5,233,45,25,Lsm7
Lyrm2,172,8,0,970,Lyrm2
Lysmd3,10,295,10,152,Lysmd3
Lysmd4,5,150,127,20,Lysmd4
M1ap,754,106,195,2,M1ap
Malsu1,170,9,0,973,Malsu1
Maml2,11,1000,42,29,Maml2
Mamld1,30,209,22,54,Mamld1
Mapkapk2,171,13,1,982,Mapkapk2
Mapre1,752,193,80,20,Mapre1
March11,0,121,598,0,March11
Mcl1,627,365,44,0,Mcl1
Mea1,13,891,1,38,Mea1
Mest,31,975,27,29,Mest
Mettl7a1,1,111,607,1,Mettl7a1
Mfap1a,3,149,82,70,Mfap1a
Mfap3l,2,338,14,22,Mfap3l
Mgst3,168,52,1,976,Mgst3
Minpp1,2,308,74,34,Minpp1
Mis12,5,114,573,53,Mis12
Mkks,318,20,260,390,Mkks
Mmp12,754,106,195,2,Mmp12
Mn1,1,205,47,54,Mn1
Mobp,627,367,41,0,Mobp
Mrpl42,14,895,1,34,Mrpl42
Mrps16,21,57,942,2,Mrps16
Mrps23,195,0,3,949,Mrps23
Mrps26,627,367,41,0,Mrps26
Msmo1,912,43,68,184,Msmo1
Mtch2,5,114,569,54,Mtch2
Mtrf1,0,115,603,1,Mtrf1
Myd88,5,114,569,54,Myd88
Myeov2,0,114,605,0,Myeov2
Myl12b,0,116,603,0,Myl12b
Myom1,722,96,236,0,Myom1
Naa30,10,122,173,26,Naa30
Nab2,0,115,604,0,Nab2
Naf1,114,234,1,733,Naf1
Nap1l5,16,897,1,103,Nap1l5
Ndnl2,186,4,34,917,Ndnl2
Ndufs4,14,81,38,209,Ndufs4
Ndufs5,1,110,599,9,Ndufs5
Ndufv1,0,116,603,0,Ndufv1
Necap1,11,990,48,24,Necap1
Neurl4,0,110,615,0,Neurl4
Neurod2,357,0,3,723,Neurod2
Nexn,749,115,190,2,Nexn
Nfam1,187,8,0,958,Nfam1
Nfil3,723,29,300,0,Nfil3
Ngrn,5,114,573,53,Ngrn
Nkrf,10,295,10,152,Nkrf
Nkx2-2,999,11,50,170,Nkx2-2
Npas4,723,29,300,0,Npas4
Nppa,722,96,236,0,Nppa
Nptx2,85,41,947,2,Nptx2
Npy1r,912,43,68,184,Npy1r
Npy5r,16,893,0,106,Npy5r
Nr2f1,5,181,44,92,Nr2f1
Nr4a1,710,56,283,0,Nr4a1
Nr4a2,712,101,242,1,Nr4a2
Nr4a3,629,352,58,4,Nr4a3
Nrg2,99,4,551,335,Nrg2
Nrip1,15,897,1,106,Nrip1
Nsf,50,42,1000,2,Nsf
Nsmaf,318,20,260,390,Nsmaf
Ntpcr,445,36,449,80,Ntpcr
Nuak1,627,367,41,0,Nuak1
Nuf2,30,214,21,50,Nuf2
Numb,627,367,41,0,Numb
Nup50,0,116,603,0,Nup50
Nupr1,290,3,6,773,Nupr1
Odf4,754,106,195,2,Odf4
Olfml2b,171,20,1,988,Olfml2b
Olfr635,99,41,6,677,Olfr635
Orc5,0,110,614,0,Orc5
Otog,21,900,1,61,Otog
Otud1,627,365,44,0,Otud1
Oxr1,0,114,605,0,Oxr1
Pak6,0,125,603,0,Pak6
Palb2,15,895,1,109,Palb2
Parg,0,116,603,0,Parg
Pcdh8,171,29,2,1000,Pcdh8
Pdia4,10,289,9,157,Pdia4
Peli1,169,43,1,986,Peli1
Per1,725,21,306,0,Per1
Phlda1,752,193,80,20,Phlda1
Phtf1,10,141,154,21,Phtf1
Pick1,0,114,605,0,Pick1
Pigb,23,23,487,11,Pigb
Pigm,89,41,958,2,Pigm
Pira2,749,115,190,2,Pira2
Pkd1,0,114,605,0,Pkd1
Plagl1,748,107,195,2,Plagl1
Pld6,5,233,45,25,Pld6
Plekho1,0,121,600,1,Plekho1
Plk2,629,349,61,4,Plk2
Plk3,712,101,242,1,Plk3
Pmm2,99,4,551,335,Pmm2
Pnp,710,56,283,0,Pnp
Pnpt1,168,53,1,975,Pnpt1
Poc5,0,120,599,0,Poc5
Polr2d,11,990,48,24,Polr2d
Ppat,118,7,508,345,Ppat
Ppic,33,171,28,79,Ppic
Ppm1d,1,293,16,47,Ppm1d
Ppp1r15a,627,365,44,0,Ppp1r15a
Ppp2r2a,0,114,605,0,Ppp2r2a
Ppp6c,168,53,1,975,Ppp6c
Prep,632,358,45,0,Prep
Prickle2,16,897,1,103,Prickle2
Prkcb,118,7,508,345,Prkcb
Prkci,327,3,4,561,Prkci
Prkcz,11,1000,42,29,Prkcz
Prmt3,0,291,23,40,Prmt3
Prnp,14,895,1,34,Prnp
Prokr2,14,895,1,34,Prokr2
Prom2,16,899,1,63,Prom2
Prpf38b,8,201,61,27,Prpf38b
Prr15,0,115,604,0,Prr15
Psmb8,90,325,1,695,Psmb8
Psmc3,0,116,603,0,Psmc3
Ptger4,118,7,508,345,Ptger4
Ptgs2,883,21,151,59,Ptgs2
Ptpn22,0,114,605,0,Ptpn22
Pxn,627,365,44,0,Pxn
Rab11fip2,44,125,520,54,Rab11fip2
Rab2a,11,990,48,24,Rab2a
Rab39b,8,201,61,27,Rab39b
Rab3b,11,998,42,28,Rab3b
Raf1,173,9,1,977,Raf1
Ranbp2,0,114,605,0,Ranbp2
Rasd1,627,367,41,0,Rasd1
Rasl11a,1000,11,50,171,Rasl11a
Rbbp5,327,3,4,561,Rbbp5
Rbbp8,0,125,601,0,Rbbp8
Rbm38,3,340,13,19,Rbm38
Rbp4,41,889,3,36,Rbp4
Rbsn,40,32,100,289,Rbsn
Rdh16,14,895,1,34,Rdh16
Rfc5,9,143,152,18,Rfc5
Rfx2,16,897,1,103,Rfx2
Rfx7,92,335,1,685,Rfx7
Rgmb,318,20,260,390,Rgmb
Rgs2,712,101,242,1,Rgs2
Rgs4,627,366,43,0,Rgs4
Ripk3,749,115,190,2,Ripk3
Rnf128,14,81,38,209,Rnf128
Rnf138rt1,106,41,150,824,Rnf138rt1
Rnf149,79,30,182,806,Rnf149
Rnft1,887,18,149,62,Rnft1
Rnpc3,5,236,43,26,Rnpc3
Rom1,0,116,605,0,Rom1
Rora,168,21,0,978,Rora
Rorb,340,1,2,738,Rorb
Rpl21-ps4,749,115,190,2,Rpl21-ps4
Rpl36a,0,116,603,0,Rpl36a
Rpp21,15,895,1,109,Rpp21
Rsbn1l,632,358,45,0,Rsbn1l
Rsrc1,329,3,4,571,Rsrc1
Rundc1,13,892,1,38,Rundc1
Samd11,0,115,603,1,Samd11
Samm50,1,145,572,4,Samm50
Sbds,116,7,510,335,Sbds
Scd3,30,968,31,23,Scd3
Scg2,116,234,1,734,Scg2
Scg3,999,11,50,170,Scg3
Scrn1,288,31,275,390,Scrn1
Sdcbp,145,27,107,886,Sdcbp
Sebox,101,31,851,21,Sebox
Sec61b,752,193,80,20,Sec61b
Serp1,883,21,151,59,Serp1
Sf3b1,0,115,604,0,Sf3b1
Sgk1,190,8,441,10,Sgk1
Sgpl1,910,43,69,184,Sgpl1
Sh2d3c,175,125,0,883,Sh2d3c
Shc4,2,320,64,41,Shc4
Shmt2,893,53,110,68,Shmt2
Siah2,710,31,283,0,Siah2
Sik1,710,31,283,0,Sik1
Slc14a1,723,29,300,0,Slc14a1
Slc16a1,3,421,15,21,Slc16a1
Slc18a2,288,31,265,399,Slc18a2
Slc18b1,17,111,35,190,Slc18b1
Slc20a2,1,131,585,5,Slc20a2
Slc23a4,358,0,3,722,Slc23a4
Slc25a25,5,236,43,26,Slc25a25
Slc2a3,2,111,571,27,Slc2a3
Slc2a5,327,3,4,563,Slc2a5
Slc35c2,0,116,603,0,Slc35c2
Slc36a4,26,81,135,64,Slc36a4
Slc5a10,749,115,190,2,Slc5a10
Slc6a6,22,56,937,2,Slc6a6
Slc7a15,21,900,1,61,Slc7a15
Slco2a1,14,81,38,209,Slco2a1
Smad7,748,107,195,2,Smad7
