,gene,PCOR,P_pv,SCOR,S_pv,XI_ori,XI_new,XI_pv,SIGMA_ori,SIGMA,Z_pv,PCOR2,SCOR2
11670,Rasl10a,-0.44883865606877527,0.10742934691114944,-0.3450549450549451,0.2269486800417005,0.0,0.0,0.5,0.3450549450549451,0.3450549450549451,0.4612067070002213,0.44883865606877527,0.3450549450549451
11671,Rasl10b,-0.03735108677920407,0.8991241471958707,0.054945054945054944,0.8520077036323677,0.0461538461538461,0.05704896883644641,0.3924074534215457,0.07175748447171208,0.0792057062857023,0.9446872672200881,0.03735108677920407,0.054945054945054944
11672,Rasl11a,0.7137067816589605,0.004148773109923482,0.8109890109890111,0.000432210064907679,0.4,0.4944243965825362,0.008980238763039328,0.9042694155753219,0.9498203303156547,0.0008459327919594349,0.7137067816589605,0.8109890109890111
11673,Rasl11b,0.6014102615887992,0.022901199168299118,0.5604395604395604,0.037104477004074335,0.15384615384615385,0.19016322945482161,0.18136745421944866,0.5811722119638397,0.5918230772303281,0.08579432307373995,0.6014102615887992,0.5604395604395604
11674,Rasl12,-0.24581605384159105,0.3969289170720839,-0.1824175824175824,0.5325088185186945,0.0,0.0,0.5,0.1824175824175824,0.1824175824175824,0.8054975375315571,0.24581605384159105,0.1824175824175824
11675,Rasl2-9,-0.24994373734777903,0.3887912855145914,-0.3389836900632198,0.23577199430487503,0.24615384615384617,0.30426116712771456,0.07265957895936881,0.41892918029806475,0.4555049944301337,0.16410157987421647,0.24994373734777903,0.3389836900632198
11676,Rassf1,0.4295213951186562,0.12534398559656773,0.4769230769230769,0.0846484341946868,0.0,0.0,0.5,0.4769230769230769,0.4769230769230769,0.22798816974401345,0.4295213951186562,0.4769230769230769
11677,Rassf10,-0.2300466273339335,0.4288250230576868,-0.14087521363240257,0.6309640178626466,0.15384615384615385,0.19016322945482161,0.18136745421944866,0.2086012101336651,0.23665983954330358,0.5808869895819312,0.2300466273339335,0.14087521363240257
11678,Rassf2,0.11916234523407082,0.6849291602122075,0.14725274725274726,0.6154187624847252,0.36923076923076925,0.45639175069157184,0.014466482234909428,0.39751066969356563,0.4795589657933624,0.07991907396003045,0.11916234523407082,0.14725274725274726
11679,Rassf3,0.17081903017975233,0.5593043538609306,0.26153846153846155,0.3664111370667421,0.0,0.0,0.5,0.26153846153846155,0.26153846153846155,0.6410707943120384,0.17081903017975233,0.26153846153846155
11680,Rassf4,-0.030933426165870692,0.916395639988148,-0.059476171413318075,0.8399413552153785,0.0,0.0,0.5,0.059476171413318075,0.059476171413318075,0.9772691318399969,0.030933426165870692,0.059476171413318075
