,row,column,value
219,Camk2a,Prkcb,-0.22118316178260586
220,Wwc1,Prkcb,-0.6021026090337018
221,Prkcb,Prkcb,1.0
222,Prkcz,Prkcb,-0.05723622648362761
223,Prkci,Prkcb,0.28869914042325073
224,Fos,Prkcz,-0.05933039597884767
225,Fosl2,Prkcz,0.011187211612795523
226,Npas4,Prkcz,0.1545007087266423
227,Arc,Prkcz,0.10038682574701463
228,Grin1,Prkcz,-0.028076941403980024
229,Gria1,Prkcz,0.48659005233672403
230,Gria2,Prkcz,0.6666278461003033
231,Pick1,Prkcz,0.6144967279066046
232,Nsf,Prkcz,-0.3019677329508961
233,Numb,Prkcz,-0.22600933295540523
234,Fmr1,Prkcz,-0.4721499640013061
235,Camk2a,Prkcz,0.8561590764909356
236,Wwc1,Prkcz,0.3056401696745598
237,Prkcb,Prkcz,-0.05723622648362761
238,Prkcz,Prkcz,1.0
239,Prkci,Prkcz,0.504644337257933
240,Fos,Prkci,0.044329145013409
241,Fosl2,Prkci,-0.044897464779909996
242,Npas4,Prkci,0.24246786165927334
243,Arc,Prkci,0.3106532760870513
244,Grin1,Prkci,0.38104099334085634
245,Gria1,Prkci,0.10142082425985104
246,Gria2,Prkci,0.27074878785276185
247,Pick1,Prkci,0.6607438014322943
248,Nsf,Prkci,-0.03490259975485972
249,Numb,Prkci,0.19656706489606368
250,Fmr1,Prkci,-0.40560280149518696
251,Camk2a,Prkci,0.25873733228795004
252,Wwc1,Prkci,-0.12059368656175792
253,Prkcb,Prkci,0.28869914042325073
254,Prkcz,Prkci,0.504644337257933
255,Prkci,Prkci,1.0
